ISO3,SUM_Point_No
ABNJ,2785
ABW,3
AGO,4
AIA,4
ALB,5
ARG,62
ASM,2
ATA,20
ATF,19
ATG,1
AUS,430
AUS/IDN,2
BEN,1
BES,11
BHS,507
BLM,1
BLZ,3
BMU,33
BRA,277
BRB,7
CAN,211
CHL,102
CHN,1
CHN/PHL/VNM/TWN/MYS,2
CHN/TWN/VNM,2
CIV,10
COK,4
COL,70
COL/JAM,1
CPV,44
CRI,9
CUB,81
CUW,6
CYM,2
CYP,2
DMA,9
DNK,4
DOM,21
DZA,3
ECU,74
ERI,3
ESH,27
ESH/MRT,16
ESP,528
FJI,3
FLK,24
FRA,358
FRO,622
FSM,2
GBR,854
GHA,9
GIN,2
GLP,10
GNB,1
GNQ,5
GRC,20
GRD,16
GRL,19
GTM,1
GUF,8
GUY,23
HMD,2
HND,15
HRV,75
HTI,13
IDN,162
IND,11
IRL,650
ISL,238
ITA,284
JAM,24
JPN,100
KEN,4
KIR,2
KNA,9
LBR,8
LCA,17
LKA,4
MAR,233
MDG,9
MEX,146
MHL,9
MLT,6
MMR,6
MNE,3
MOZ,12
MRT,106
MSR,8
MTQ,9
MUS,1
MYS,9
MYT,2
NAM,2
NCL,74
NFK,49
NGA,11
NIC,6
NOR,3500
NZL,1217
OMN,5
PAN,33
PER,9
PHL,202
PLW,5
PNG,2
PRI,36
PRT,533
RUS,18
RUS/JPN,1
SAU,7
SEN,8
SGS,176
SHN,19
SJM,3
SOM,9
SPM,3
STP,1
SUR,41
SWE,65
SYC,5
TCA,4
THA,4
TLS,6
TON,2
TTO,16
TUN,20
TUR,3
TUV,1
TWN,6
UMI,10
URY,21
USA,3063
VCT,15
VEN,84
VGB,9
VIR,6
VNM,2
VUT,20
WLF,37
WSM,2
YEM,1
ZAF,58
