ISO3,Protected_Area
ABNJ,2.471682117
ABW,0.494249071
AIA,4.705515796
ARE,60.01450446
ASM,12.37920701
ATF,42.24957356
ATF/MDG,1.420774888
ATG,22.04172913
AUS,27092.95881
BES,195.7845256
BHR,4.325257537
BHS,365.619344
BLM,16.47602968
BLZ,356.6443149
BMU,0.078225942
BRA,579.0068593
BRB,0.284625159
CCK,7.120502949
CHN,17.65402465
COK,111.0095721
COL,830.291831
COM,0.11252566
CRI,29.75166502
CUB,957.4153932
CUW,5.55119791
CXR,0.672038148
CYM,51.39598141
DJI,8.290967418
DMA,0.72700797
DOM,229.384887
ECU,125.4135685
EGY,1156.789994
EGY/SDN,6.352597603
FJI,1180.416086
FSM,55.66135123
GLP,172.876283
GRD,3.216482856
GUM,9.286439777
HND,191.2275602
HTI/USA/JAM,1.802560202
IDN,6788.983169
IND,212.4568652
IOT,9.824953753
IOT/MUS,1800.248834
IRN,1.722896341
ISR,0.840778903
JAM,72.33111473
JOR,1.46514131
JPN,744.3040671
KEN,183.868166
KHM,0.153748613
KIR,95.71947118
KNA,6.837080343
LCA,3.744041076
LKA,0.989204931
MAF,11.67436958
MDG,756.6631543
MDG/FRA,131.9634318
MDV,77.11319816
MEX,801.9164766
MHL,381.8288866
MMR,40.28750659
MNP,11.0832623
MOZ,237.8540965
MTQ,72.11668137
MUS,32.33986563
MYS,69.1111315
MYT,164.8394118
MYT/COM,133.7866426
NCL,3790.635486
NIC,240.6866499
NIU,2.330181924
OMN,27.51013887
PAN,31.27515255
PCN,33.17170266
PHL,892.9497794
PLW,120.5380226
PNG,345.0281132
PRI,31.4759836
PYF,16.62312455
QAT,0.637656961
QAT/SAU/ARE,0.047142798
REU,10.05910749
SAU,438.9514406
SDN,304.7791613
SDN/EGY,837.0371888
SLB,175.7426214
SXM,0.013413949
SYC,87.53975295
TCA,16.94974468
THA,55.65164281
TKL,3.30492047
TLS,10.95285009
TON,272.612535
TTO,4.995227877
TUV,25.13668848
TWN,193.2064854
TZA,880.1106019
UMI,184.5722303
USA,3719.388314
VCT,18.74206701
VEN,230.9764125
VGB,0.576480864
VIR,12.26461409
VNM,105.4540529
VUT,12.85301802
WSM,24.36038683
YEM,1.655894732
ZAF,1.398813349
