ISO3,Area
ABW,66.93196322
AIA,24.46564391
ARE,128.4994271
ASM,45.4268524
ATF,266.5097994
ATF/MDG,3.822577696
ATF/MUS/MDG,0.70700132
ATG,55.19874097
AUS,32094.37264
AUS/IDN,5.211446746
AUS/PNG,35.86117688
BES,199.4086053
BGD,4.553950728
BHR,208.673573
BHS,2218.680939
BLM,10.77160754
BLZ,878.5950418
BMU,530.4399597
BRA,701.6269379
BRB,31.41134314
BRN,63.15243727
CCK,115.8603485
CHN,380.9059498
CHN/PHL/VNM/TWN/MYS,2447.750624
CHN/TWN/JPN,7.076203666
CHN/TWN/VNM,305.5863032
COK,254.6934976
COL,940.5395367
COM,220.3234272
FRA,4.330337604
CRI,70.26794037
CUB,2679.770757
CUW,38.91063985
CXR,5.066107717
CYM,137.420466
DJI,246.3365392
DMA,16.45348003
DOM,352.4669618
ECU,126.2583213
EGY,2222.356488
EGY/SDN,880.2575334
ERI,1589.659213
FJI,3385.514019
FSM,3192.407083
GLP,113.9763916
GRD,51.06428769
GUM,137.6971805
HKG,0.013890232
HND,670.8017338
HTI,329.1834376
IDN,20000.35065
IND,2047.843986
IOT,1821.985923
IRN,118.7046566
ISR,0.945462085
JAM,439.4266485
JOR,2.870613611
JPN,1042.927892
KEN,409.5766175
KEN/SOM,3.984230038
KHM,46.02078501
KIR,1973.219832
KNA,42.05308954
KWT,72.99996659
LCA,29.65147301
LKA,109.6023092
MAF,5.748777987
MDG,2414.236361
MDV,2714.084465
MEX,929.2983851
MHL,2005.142287
MMR,610.2975289
MNP,81.87572504
MOZ,1685.046499
MSR,2.436990462
MTQ,72.42982065
MUS,745.0368227
MYS,1720.586052
MYT,301.8366536
NCL,4597.988484
NIC,463.9447138
NIU,15.4634743
NRU,5.955288373
OMN,266.7943408
PAN,634.6448837
PCN,39.57969477
PHL,12091.99745
PLW,509.7032036
PNG,7302.812752
PRI,158.9997002
PYF,3016.243217
QAT,156.2004778
REU,12.18359216
SAU,3429.766635
SDN,782.2305354
SGP,3.876426084
SLB,2821.660505
SOM,404.8324674
SXM,2.202584304
SYC,1503.294476
TCA,192.5642796
THA,185.1366927
TKL,97.18984455
TLS,35.32757546
TON,997.2134444
TTO,32.22544639
TUV,891.3041374
TWN,376.0901263
TZA,1825.208187
UMI,172.4608445
USA,4108.994339
VCT,33.59962944
VEN,348.8763328
VGB,137.8291447
VIR,33.7435426
VNM,422.9721367
VUT,710.9606494
WLF,413.4608162
WSM,201.1901855
YEM,659.9165501
ZAF,1.525157144
