ISO3,Protected_Area
ABW,0.022471041
AGO,12.78013789
ARE,9.568126927
ATG,6.754366388
AUS,2823.819498
BEN,3.128626522
BES,2.095253963
BGD,4347.989779
BHR,2.46317638
BHS,518.9690935
BLZ,291.8776855
BRA,11102.76939
BRB,0.056006172
BRN,84.58168769
CHN,33.25099815
CIV,26.56504369
CMR,978.0464473
COD,182.7029229
COG,12.37021063
COL,1935.323418
CRI,155.607938
CUB,2653.151244
CUW,1.204134938
CYM,19.20727651
DMA,0.479372486
DOM,178.3186727
ECU,835.8712893
EGY,70.19053953
EGY/SDN,0.097017843
FJI,93.63469544
GAB,816.7151393
GHA,41.40030662
GIN,541.5743937
GLP,110.6418724
GMB,103.586192
GNB,1122.206564
GNQ,179.275284
GRD,0.370896215
GTM,133.3891412
GUF,461.5206247
GUM,0.222521803
GUY,299.7336669
HKG,1.848509216
HND,668.7340765
HTI,0.147338246
IDN,7054.137359
IND,1968.367219
IRN,483.4323505
JAM,70.76491232
JPN,4.843310454
KEN,117.6510699
KHM,355.1665227
KNA,0.035370156
LBR,37.68586372
LCA,1.0728166
LKA,8.684476207
MAF,0.356861739
MDG,386.2837108
MEX,7040.400051
MMR,131.2061177
MOZ,2677.191605
MRT,1.420313222
MTQ,28.97608251
MUS,1.153534122
MYS,2111.592158
MYT,6.065809631
MYT/COM,0.100808177
NCL,116.7614606
NGA,386.2953941
NIC,477.26695
NZL,22.0892207
OMN,0.717733705
PAK,543.2593248
PAN,322.1274438
PER,18.20004279
PHL,560.1414819
PLW,20.53665609
PNG,308.0800917
PRI,36.38624674
QAT,0.76810508
SAU,40.19580922
SDN,2.785469595
SDN/EGY,0.197749626
SEN,692.2902367
SGP,0.728489715
SLB,52.06822412
SLE,265.4364111
SLV,312.1582764
STP,0.004786887
SUR,409.8283809
SXM,0.11021278
SYC,27.88046434
TCA,80.31384221
TGO,7.992765369
THA,481.9302322
TON,0.774102138
TTO,40.14197128
TWN,1.138719476
TZA,1037.125771
USA,2871.107791
VCT,0.215635793
VEN,2502.728755
VGB,0.31662247
VIR,0.700132987
VNM,85.7901558
VUT,0.846197454
YEM,91.40086261
ZAF,122.3368441
