ISO3,Area
ABNJ,1.44408963
ABW,0.711741319
AGO,339.9408332
AIA,5.185470012
ARE,67.98458461
ASM,0.526779969
ATG,8.482136726
AUS,6322.787054
AUS/PNG,6.035748084
BEN,65.91238411
BES,2.151621593
BGD,4964.876867
BHR,3.07745638
BHS,877.9531265
BLZ,964.7623203
BMU,0.101174675
BRA,12881.74089
BRB,0.268808045
BRN,171.506276
CHN,196.5522054
CIV,97.74631501
CMR,1972.761573
COD,195.4157987
COG,18.56058252
COL,4097.316386
COM,5.234089982
CRI,494.8306538
CUB,4960.594615
CUW,8.382733696
CYM,62.48787959
DJI,10.02112076
DMA,1.56448273
DOM,227.0040067
ECU,1593.533145
EGY,99.91803017
EGY/SDN,0.402879881
ERI,102.4785521
FJI,517.9991035
FSM,83.98229409
GAB,1605.502895
GHA,139.454003
GIN,2041.4576
GLP,52.8912284
GMB,581.9277036
GNB,3003.077877
GNQ,257.7816506
GRD,1.973015844
GTM,231.2757683
GUF,697.0247859
GUM,0.975879346
GUY,396.1765893
HKG,1.707069885
HND,1110.484431
HTI,136.2070967
IDN,29868.59078
IND,4046.039875
IRN,751.0271213
JAM,98.01069069
JPN,6.519115543
KEN,613.548997
KHM,601.4588766
KNA,0.681012758
LBR,109.8914124
LCA,1.923367644
LKA,89.45174807
MAF,0.564539377
MDG,3006.207035
MEX,9241.800986
MMR,5113.743308
MOZ,5238.725245
MRT,1.889217828
MSR,0.307542542
MTQ,17.14113244
MUS,6.859824185
MYS,7089.70565
MYT,7.152823226
NCL,222.5987453
NGA,7394.049129
NIC,652.4734389
NZL,260.8247875
OMN,9.214028556
PAK,980.5939007
PAN,1754.958088
PER,48.90328178
PHL,2578.151724
PLW,70.3246157
PNG,3900.878566
PRI,73.67805637
QAT,0.49756463
RUS,0.124095981
SAU,326.2526708
SDN,10.74206747
SEN,1290.987666
SGP,4.642996283
SLB,564.666454
SLE,1054.707173
SLV,447.0343044
SOM,48.11936866
STP,1.372520377
SUR,513.195496
SXM,0.624215117
SYC,31.52823003
TCA,111.4826374
TGO,10.9983171
THA,2497.432981
TON,3.377541363
TTO,66.13625259
TWN,2.429593967
TZA,1280.045323
USA,3183.411953
VCT,1.705687368
VEN,3546.515919
VGB,4.356667223
VIR,2.588617207
VNM,1014.753454
VUT,20.60186706
YEM,134.8366713
ZAF,510.2017531
