ISO3,Protected_Area
ALB,41.54449606
ARE,9.274405512
ARG,986.2863936
AUS,4040.90179
BEL,3.608618713
BGR,0.31559553
BIH,0.290391217
BRA,0.891520391
CAN,282.5301649
CHL,3.034721507
CHN,401.3183633
CYP,11.83467741
DEU,339.6907511
DNK,341.9471805
ECU,0.07166565
ESP,850.3331499
EST,3.58900633
FIN,87.71845932
FRA,768.7705384
GBR,529.9306164
GBRX,11.73016226
GUM,0.030428168
HKG,0.000317732
HRV,4.658969574
IRL,87.98617151
ISL,0.169300284
ITA,415.9492058
LVA,0.647244786
MDG,29.44373936
MEX,2663.381014
MNE,0.931250016
MNP,0.000976257
NLD,242.3692194
NZL,46.8500679
PER,47.58367372
PRI,12.89767767
PRT,184.6895328
ROU,54.72155773
RUS,4067.64491
SVN,0.975835472
SWE,17.09198998
TUR,143.2072053
TWN,0.825918248
USA,6793.287702
VIR,0.295322504
ZAF,9.150604565
