ISO3,Area
ALB,46.62061822
ARE,47.97497282
ARG,1188.699655
ASM,0.001243461
AUS,13258.54232
BEL,4.358653106
BGR,0.31570567
BIH,0.290530319
BRA,59.86510665
CAN,1112.719916
CHL,9.243411907
CHN,5439.853677
CYP,7.67771294
DEU,202.6744738
DNK,303.5651123
ECU,2.030320661
ESP,883.091305
EST,3.889239928
FIN,132.75307
FRA,800.7951713
GBR,573.05713669
GUM,0.080447502
HKG,0.288410148
HRV,5.090808979
IRL,98.89446046
ISL,26.17377947
ITA,439.4208064
LVA,0.710924308
MAC,1.199277393
MDG,58.10406414
MEX,2714.387214
MNE,1.050914764
MNP,0.001626679
NLD,151.2719352
NZL,196.5039595
PER,282.5661705
PRI,58.75559809
PRK,4.917974411
PRT,199.2256249
ROU,54.72830636
RUS,7007.200205
SVN,2.211140527
SWE,49.86256213
TUR,256.2991334
TWN,46.2550471
URY,24.87547899
USA,18838.58039
VIR,1.270829233
VNM,2.543952189
ZAF,61.47317966
