ISO3,Protected_Area
AGO,0.635562102
AIA,0.394839035
ALB,4.173612827
ARE,2082.30467
ASM,17.60589446
ATG,1.997016289
AUS,15742.11203
BES,2.519490585
BHR,69.4073081
BHS,70.12775732
BLM,16.48847429
BLZ,1837.861655
BRA,0.182789341
BRB,0.177347136
CAN,103.683535
CHN,363.5947984
COL,57.4471204
CUB,6406.72154
CXR,11.37382998
CYM,3.067804001
CYP,43.24903621
DEU,315.3488052
DMA,6.647803407
DNK,633.6595553
DOM,86.51538405
EGY,472.1239995
ESP,2601.014674
FJI,297.1396406
FRA,1001.108745
GBR,107.1458527
GHA,12.10358596
GIN,543.3752519
GLP,747.0875405
GNB,8447.543988
GRC,359.4646735
GRD,0.738660141
GTM,0.010115044
GUM,19.78579038
HKG,7.467989948
HND,736.0353093
HRV,171.7952104
IDN,3617.022647
IND,331.5841484
IRN,291.8616641
ISR,1.49329857
ITA,3050.978319
JAM,133.4890408
JPN,415.1032716
KEN,70.63186114
KNA,3.37203139
KWT,206.1523823
LBY,0.119871318
LCA,4.296322417
LKA,16.07002042
MAF,47.16590034
MCO,0.423627523
MDG,1206.714303
MDV,25.67467419
MEX,5942.709205
MHL,2.017066835
MLT,224.6071315
MMR,18.66791292
MOZ,17.34589092
MTQ,545.1487199
MYS,97.21428682
MYT,1478.255323
NCL,1004.155723
NGA,1.155833007
NIC,316.7504115
NLD,2.761011071
NOR,11.11249869
PAN,87.00953755
PHL,2844.506706
PLW,44.61571544
PNG,1432.165886
POL,2.65357718
PRI,113.6217966
PYF,15.26895529
QAT,16.15776839
RUS,14.15679422
SAU,333.339183
SDN,2820.286274
SEN,153.2041694
SLB,168.2094633
SLE,694.7283283
SWE,18.66026883
SXM,0.846685483
TCA,66.65102642
TGO,9.18015845
THA,641.5032339
TON,1345.211969
TTO,0.585871642
TUN,124.9774228
TUR,0.11241419
TWN,137.6480049
TZA,1.616395582
UKR,1470.751553
USA,9017.355635
VEN,84.19167686
VGB,0.133630144
VIR,25.91953198
VNM,23.06321178
VUT,32.14134409
WSM,31.84966994
ZAF,378.7463576
