ISO3,Area
ABNJ,6420.81344
ABW,33.28882789
AGO,596.6697847
AIA,15.09162978
ALB,44.06197683
ARE,4587.228319
ASM,463.8041949
ATG,251.0108529
AUS,41185.71859
AUS/PNG,61.13296112
BEN,1363.798666
BES,4.538833622
BHR,537.9727963
BHS,2266.584462
BLM,16.98554812
BLZ,4928.663785
BRA,429.3445802
BRB,90.17016344
CAN,337.7133504
CCK,216.5047801
CHN,7575.112568
CHN/TWN/VNM,702.1377706
COL,433.4801963
COM,1272.906269
CUB,13963.67788
CXR,159.464235
CYM,45.21894037
CYP,70.03932948
DEU,315.402642
DMA,516.9015287
DNK,1178.839563
DOM,348.5695141
DZA,40.56162844
EGY,2453.78895
ERI,16.43266117
ESP,3973.282555
FJI,1745.637684
FRA,1038.521374
FSM,1594.550395
GBR,131.5777961
GHA,2732.541092
GIN,12894.13283
GLP,762.7052396
GNB,15403.66402
GRC,413.1825395
GRD,10.29200457
GTM,0.010115044
GUM,476.1684188
HKG,46.87163097
HND,2754.899722
HRV,299.6572738
HTI,752.5982173
IDN,17713.89321
IND,4255.642782
IRN,2714.341962
IRQ,74.99910277
ISR,17.45056516
ITA,7985.564138
JAM,796.0173737
JOR,1.371199307
JPN,474.5682481
KEN,113.2221987
KIR,499.584277
KNA,60.42120223
KWT,1589.963338
LBY,11.54886839
LCA,6.653013696
LKA,2886.697487
MAF,48.3768186
MCO,0.423627577
MDG,5795.642198
MDV,2416.973751
MEX,9807.975398
MHL,529.2694683
MLT,357.7824818
MMR,2951.446351
MOZ,683.6391455
MSR,13.07293451
MTQ,552.0024052
MUS,88.09810363
MYS,543.2224286
MYT,1493.411264
NCL,1476.511941
NGA,8876.865541
NIC,5565.584516
NLD,2.761011071
NOR,57.29253471
PAN,1802.800243
PHL,15037.79043
PLW,732.145389
PNG,9286.200694
POL,2.65357718
PRI,603.9222202
PYF,789.507965
QAT,1151.754716
RUS,680.1186657
SAU,21076.72259
SDN,4463.624826
SEN,1490.78318
SGP,128.8704925
SLB,1261.705867
SLE,4445.62014
SVN,0.084986974
SWE,33.66783271
SXM,24.80100518
TCA,956.636224
TGO,189.112385
THA,1831.79018
TLS,336.9385677
TON,3703.37184
TTO,1.124149628
TUN,5002.456841
TUR,0.53288592
TWN,1247.91662
TZA,46.07041104
UKR,5962.579253
USA,13937.35264
VEN,1294.312507
VGB,40.90121454
VIR,84.26933778
VNM,26.6188253
VUT,1244.729671
WSM,988.7309713
YEM,5488.225067
ZAF,416.231646
