"iso3","total_coastal_length","mangroves_length","saltmarshes_length","seagrasses_length","coralreefs_length","coldcorals_length","multiple_length","buffer"
"ABW",76.8178273507749,0,0,0,53.1876627037996,0,23.4721823151457,1
"AGO",2682.85528071113,518.263462637647,4.89855312712418,184.386410130346,0,0,56.7118726849542,1
"AIA",107.295828796853,0,0,26.881463265481,42.8780051028741,0,32.412269141142,1
"ALA",5445.46491357386,0,18.4638717731511,52.0178943969359,0,0,0,1
"ALB",595.290562255442,0,156.179695691162,158.621808809322,0,0,17.1521559790097,1
"ARE",3324.84786547513,302.772051825883,62.3794669571946,558.380931762944,151.597839093157,0,801.194686880357,1
"ARG",10972.1951280721,0,2676.94715389799,0,0,0,0,1
"ASM",194.533480354742,0,0,1.9328488862839,65.7945372449884,0,126.495333198975,1
"ATA",56216.8693715704,0,0,0,0,29.7534657030162,0,1
"ATF",3448.17440230443,0,0,0,228.101423608736,0.366401494247931,0,1
"ATG",314.546218553983,45.4763615098263,0.363546809192941,10.9605608670137,114.783850299197,0,80.3978001958711,1
"AUS",72387.6353174072,13249.0297097599,3240.36491204463,6607.96732550983,3924.11788585135,1.97218847072422,20060.7400300038,1
"AZE",1318.60168267044,0,0,7.91096354149983,0,0,0,1
"BEL",248.459188544315,0,57.5732673142214,0,0,0,0,1
"BEN",360.230788145136,39.9609949253327,0,61.0428325638243,0,0,0,1
"BES",166.37652977022,0.0896127502662058,0,5.03031002200282,134.373083558999,0,13.7937042589626,1
"BGD",12658.5338897129,4122.4235034693,0,0,15.2464013414056,0,1.45726738333757,1
"BGR",464.763543269832,0,2.76639268731135,0,0,0,0,1
"BHR",554.567827019686,0,0,38.663659289401,65.7639768541836,0,434.087893562766,1
"BHS",10313.2961874689,4781.44513627728,0,433.788186391548,2066.77118854914,0,1062.37497548044,1
"BIH",33.8174167004396,0,0,0,0,0,0,1
"BLM",59.5923188142266,0,0,4.02950002399226,21.3095776988563,0,34.1467472611841,1
"BLZ",1747.84564751019,296.945922089941,0,48.993803190937,1.14694635191293,0,1352.52474578113,1
"BMU",168.470052837341,0,0,0,97.963820403431,4.26602374344384,1.3490009462396,1
"BRA",47989.8867414906,16345.8067861293,185.960323771816,209.440646144227,463.744958048588,0,243.665508064499,1
"BRB",99.697579173313,0,0,8.53398820221962,43.7644490978757,0,42.5266755694742,1
"BRN",454.740820128697,257.84628197753,0,0,0,0,0,1
"BVT",44.0851073028289,0,0,0,0,0,0,1
"CAN",309679.774146476,0,17875.2323281875,1632.30266287579,0,1.07862953041358,2239.48121030417,1
"CCK",95.7480132697998,0,0,0,5.92351537701198,0,89.6046241375307,1
"CHL",77521.591191869,0,48.7144696670858,0,0,47.6100361138376,0,1
"CHN",36352.6073179604,887.357596868794,7589.8173095262,646.805675269348,310.962473895441,0,1656.18811928986,1
"CIV",1980.81679117098,375.087952642063,0,0,0,0,0,1
"CMR",2654.26846210706,1949.87863011179,0,0,0,0,0,1
"COD",625.887701511458,286.479736267571,0,0,0,0,0,1
"COG",370.60330104747,0,0,0,0,0,0,1
"COK",439.278029773626,0,0,0,434.80131287937,0,2.53565400622754,1
"COL",8378.94510944928,4159.4943547727,0,142.524335677683,345.880517281782,0,350.695607140373,1
"COM",445.009199360013,0,0,10.7780899343686,261.791594831471,0,152.13902324036,1
"CPV",1098.81156364639,0,0,0,0,4.01252479046262,0,1
"CRI",2268.96762960539,799.481918205861,0,4.05567954393926,316.351509260807,0,43.8326339799488,1
"CUB",14006.0681881841,4889.67071002297,0,1209.21885504536,1017.38200508522,0,6198.12879346685,1
"CUW",209.677629055042,7.7129516886757,0,0,142.121565606639,0,36.2207048154168,1
"CXR",71.6438853753892,0,0,27.6100830305253,1.60290645080957,0,42.2855160706603,1
"CYM",211.106696806285,32.247346123,0,0,90.3090074973645,0,87.5386808990268,1
"CYP",721.557433432213,0,4.62191214689092,65.6047970626415,0,0,1.59748199913341,1
"DEU",4579.01265377577,0,714.728909972641,251.448274648037,0,0,264.023962903189,1
"DJI",435.908041465756,11.7468893223645,0,0,269.595609413833,0,38.2761320823598,1
"DMA",154.416963756263,0,0,39.4742165124082,13.2461379927746,0,88.9974848443588,1
"DNK",6216.24940117203,0,585.97524271513,2381.78246089158,0,0,806.549302720311,1
"DOM",1599.83417460356,284.480722343051,0,55.8904178615652,548.146602220075,0,306.600931328503,1
"DZA",1496.64884608818,0,0,77.9117500847299,0,0,0,1
"ECU",4904.33496034009,2477.38407468094,0,0,234.958013770341,7.765034915634,68.5204804885244,1
"EGY",4369.2426532057,4.27615060069773,4.52540054950849,75.9071517541956,1366.73718825132,0,393.008490846978,1
"ERI",3220.87804319439,259.53876354031,0,0.280008073138764,1063.36030626129,0,563.155481886532,1
"ESH",1158.73836334663,0,3.26491845937086,0,0,0,0,1
"ESP",7662.37223470653,0,799.241112553108,1978.91558954028,0,6.34312921973885,67.5825461139013,1
"EST",2592.24185133381,0,127.789956391658,1.05347721786269,0,0,0,1
"FIN",21727.8835637895,0,1165.99118624577,120.185443681604,0,0,0,1
"FJI",3573.71659020429,201.892086478375,0,44.4424245203101,2123.12055807669,0,1024.27835041862,1
"FLK",6431.25452409743,0,0,0,0,0,0,1
"FRA",8154.08451093864,0,1114.81773606839,2721.3253741696,0,0,276.270122313281,1
"FRO",939.45448591489,0,0,0,0,0,0,1
"FSM",6340.95058068811,13.0128311021571,0,0,4977.96285693662,0,1337.11049372636,1
"GAB",5063.30108868949,1599.46160863704,0,0,0,0,0,1
"GBR",19594.591089352,0,2805.32240054011,1429.22615610233,0,0,470.47078972233,1
"GEO",541.494302396647,0,0,0,0,0,0,1
"GGY",129.739183298405,0,0,7.99918232940407,0,0,0,1
"GHA",1227.58956302366,246.711468265588,0,302.067560372465,0,0,59.2539407281433,1
"GIB",18.2326814108853,0,0,0,0,0,0,1
"GIN",2734.73476768599,1557.57459200232,0,125.546043163011,0,0,978.099044078003,1
"GLP",468.335673095976,15.5425679348136,0,114.074503402712,68.4837591510584,0,261.074782996245,1
"GMB",852.352116409016,785.156250867252,0,0,0,0,0,1
"GNB",4972.5672943468,2074.13224799541,0,324.865503930687,0,0,2383.84252800657,1
"GNQ",773.95331921294,297.849298448543,0,0,0,0,0,1
"GRC",14824.9803257691,0,55.3494427848858,2323.41076777083,0,0,30.8528701258746,1
"GRD",163.679573823482,1.02281673428291,0,2.29232752910137,73.6718516292912,0,77.719541650227,1
"GRL",74646.3984259827,0,0,0,0,1.7873705431299,0,1
"GTM",905.006590856879,424.638282290133,0,6.38319580113061,1.32442514268763,0,3.18975621674184,1
"GUF",1158.85113396273,621.97022702226,0,0,0,0,0,1
"GUM",187.091552154219,0,0,7.38032242798833,0,0,179.373474752573,1
"GUY",1571.27985108613,618.590271388396,0,0,0,0,0,1
"HKG",823.436114649439,17.7131840893333,13.2672243112316,296.026002773314,6.48784122738342,0,7.05873107998001,1
"HMD",144.696936423827,0,0,0,0,0,0,1
"HND",2339.46294058695,1130.84217047605,0,268.935969487024,45.8048251976924,0,468.282982610884,1
"HRV",5251.26656350951,0,50.6303791482002,1136.336724739,0,0,5.21454516359913,1
"HTI",1879.4408487655,279.794571085183,0,71.9179457352515,729.728173643075,0,442.469509421533,1
"IDN",114150.538290806,37480.6500166464,0,1055.192132188,22407.2801778616,0,22545.4880080274,1
"IMN",148.347813167916,0,0,13.7683244238095,0,0,0,1
"IND",27301.0765431789,6744.47573496594,7.64266793664553,422.45319495917,1445.35051436439,3.71744222721852,1774.11870836859,1
"IRL",6846.3020623429,0,2514.10059339568,196.100057131659,0,0,56.0842834012545,1
"IRN",5962.52173998682,182.137574097363,2.73141703160462,688.205112813113,265.089302930943,0,354.83739510606,1
"IRQ",271.025936040371,0,0,50.5961075871814,0,0,0,1
"ISL",7847.88295338329,0,195.968069663275,78.2540331353702,0,2.5503813565652,9.59855933580613,1
"ISR",222.286038808938,0,0,38.9846194872169,0,0,1.60940280544716,1
"ITA",8940.43662719332,0,1112.53244106145,4632.18427854156,0,1.69186278490465,368.000858990513,1
"JAM",832.334940321181,117.782217633401,0,55.9800804254616,226.932831871439,0,386.328834363691,1
"JEY",81.5661256478732,0,0,9.54463404639512,0,0,0,1
"JOR",27.4443644041264,0,0,2.72546391988197,14.3760797073508,0,4.56645497721423,1
"JPN",31172.0491433592,15.0319951298999,25.8965868203786,4146.54285800843,1187.80384033887,2.34170218174838,443.557244598684,1
"KAZ",6601.43890309132,0,0,0,0,0,0,1
"KEN",1533.41156862694,855.44452936546,0,18.3762702030362,176.684840058286,0,366.119350570117,1
"KHM",2004.94798187805,1018.08093016968,0,2.49082873278114,182.760345866569,0,15.8913244896219,1
"KIR",2013.05535072804,0,0,0,1641.23730200755,0,196.874202397089,1
"KNA",130.293564753486,0,0,5.74425042230643,69.2471377764202,0,47.9430106509069,1
"KOR",12051.6362138979,0,3.29184968177539,271.357072282162,0,0,0,1
"KWT",796.259535003118,0,0,595.721366719215,35.1951867095611,0,17.2143962147336,1
"LBN",257.503459653763,0,0,3.54798878967799,0,0,0,1
"LBR",1217.05717765573,574.155288837813,0,0,0,0,0,1
"LBY",2083.82144177552,0,1.17452910237257,59.4374384772534,0,0,0,1
"LCA",177.684775564539,0,0,2.96402939796657,81.3389294804785,2.1818209515035,44.0827191603178,1
"LKA",3138.71416627981,966.204107312046,5.89586380954863,267.803982598138,158.232053172054,0,273.3581909475,1
"LTU",294.277466908285,0,1.973857303483,2.03937540549952,0,0,0,1
"LVA",824.490197545889,0,17.7725325245103,0,0,0,0,1
"MAC",51.7894110269974,0,27.2541299652531,0,0,0,0,1
"MAF",50.7454530910343,0,0,8.44063871531248,19.077983686706,0,12.4577865213192,1
"MAR",2282.25429512473,0,1.34350239665262,13.7410597322797,0,0,0,1
"MCO",5.00325913521894,0,0,5.00858108418392,0,0,0,1
"MDG",14495.5009989581,3797.11575598208,5.36777866865854,168.984142450051,1772.41015101147,0,2051.50045103811,1
"MDV",1969.82652711769,0,0,0,1802.04223489788,0,158.075283430276,1
"MEX",26378.8285620327,11276.1158470214,2247.61956125605,389.71162777033,645.493004515985,3.9415241016693,1939.84703219444,1
"MHL",8244.83621113209,0,0,0,7936.8557774883,0,291.494461589349,1
"MLT",183.408012452873,0,0,131.446058112292,0,0,1.88947221256335,1
"MMR",22014.032742303,8172.83073542411,0,1051.95138829115,2148.12130457858,0,1688.58459836961,1
"MNE",263.735877342164,0,5.60635794749642,0,0,0,0,1
"MNP",363.08227013648,0,2.32224773908759,1.0163704719736,188.28046573673,0,2.24346396432918,1
"MOZ",9208.56096944297,4848.89065446168,0,77.1227167920002,800.421912868732,0,480.858347860572,1
"MRT",1316.57651808607,7.24983751897722,0.394829394017379,2.57615540152117,0,0,0,1
"MSR",45.96351025247,0,0,7.52153759649216,10.0045302668519,0,18.3740810731731,1
"MTQ",367.390225087765,13.948635263799,0,84.9275411328623,14.0925815361888,0,228.317117525826,1
"MUS",1382.28570551666,1.01282455173213,0,0.920838440115689,1285.10706611792,0,81.5897558144591,1
"MYS",14801.8190670539,7668.81809360693,0,110.146012178306,975.264653751105,0,1178.56644558425,1
"MYT",860.726666082017,0,0,0,19.218628465192,0,839.864481847963,1
"NAM",1706.87559493586,0,0.969793672567597,0,0,0,0,1
"NCL",14810.8080570627,621.362412414096,0,51.7102824080447,11925.9100896455,0,1964.2035243492,1
"NFK",41.2491449614493,0,0,0,0,4.33286066412381,0,1
"NGA",10924.9240377708,7089.47941204195,0,339.197178171802,0,0,421.450103698666,1
"NIC",2598.83092337894,1205.92433165097,0,105.347840288977,15.2814455665156,0,303.997651072847,1
"NIU",66.3740875734614,0,0,0,66.2560745902758,0,0,1
"NLD",3110.57803233007,0,446.945886992872,36.3015040737233,0,0,18.3934754969844,1
"NOR",53708.281862816,0,4.84727007475041,5118.32288895983,0,242.56302625412,27.441932165273,1
"NRU",17.6871945626124,0,0,0,17.6460473551779,0,0,1
"NZL",16697.4353506539,1213.64186999768,1314.7409158826,42.2367802525929,0,29.7890564383078,913.404186176145,1
"OMN",2970.90774772286,28.5110337766255,0,9.42873989112672,501.259902141976,0,2.4997273372364,1
"PAK",4807.62901119154,2178.64731292933,0,0,0,0,0,1
"PAN",7120.31304181772,2484.04712577032,0,158.803059667445,885.366840781755,0,1095.27806171141,1
"PCN",77.9771051275371,0,0,0,77.8729888097006,0,0,1
"PER",3369.31037827444,58.9701445775245,212.431891118044,0,0,0,39.7178443048011,1
"PHL",34173.7535447842,4535.20441639544,0,654.271503147768,10038.7331228903,0,13504.7542997376,1
"PHL; CHN; TWN",30.0375648358198,0,0,0,16.1041264997913,0,0,1
"PLW",946.776502556545,36.9520500837954,0,0.0446774805248082,490.645367340206,0,266.230228172456,1
"PNG",24602.3017987831,6314.67108889448,0,405.576065202642,4994.79245719456,0,4683.15817982248,1
"POL",1867.06210542878,0,15.5693682922953,2.43537838660464,0,0,0.704069079354953,1
"PRI",1017.7401224231,16.6527992415933,23.3830218539644,27.2756596379758,81.9807395269753,0,769.206082311952,1
"PRK",4098.92734307612,0,26.7613723864923,3.10654270043528,0,0,0,1
"PRT",3055.67675443241,0,833.801955623162,8.27997245366091,0,3.30498441530123,6.63558754651903,1
"PSE",38.3377882100583,0,0,0,0,0,0,1
"PYF",14476.5031412668,0,0,11.6827405155559,12843.4082807432,0,957.619111085621,1
"QAT",903.835789458684,26.7615289314782,0.466364238997337,279.075834414031,23.0215261736293,0,249.678927816201,1
"REU",215.317293044228,0,0,0,45.040799844472,0,0,1
"ROU",418.819715188821,0,19.7033695534806,9.81372936266865,0,0,0,1
"RUS",242582.133330935,0,3488.49380226884,293.50869522879,0,0,0,1
"SAU",6991.09895985166,303.356731977665,7.05519358848303,951.288644367631,1388.03225275365,0,2484.56424089596,1
"SDN",1438.0583303248,93.6762962494461,0,326.643072880492,153.502585751122,0,101.3365683004,1
"SEN",4095.58813008181,2096.32035004035,0,119.480417873666,0,0,12.2401034885953,1
"SGP",485.684432987126,54.2810431905084,0,109.922474096551,9.9573483920048,0,61.6550884121461,1
"SGS",1488.92835551652,0,0,0,0,4.90406489641583,0,1
"SHN",218.871208932418,0,0,0,0,7.707188248705,0,1
"SJM",8542.94482654175,0,0,0,0,0,0,1
"SLB",9758.29128195567,565.869396558013,0,0.24012233022651,4190.29013929423,0,4354.3817021731,1
"SLE",2276.75527691923,1021.54582338915,0,213.934344769539,0,0,395.501124162247,1
"SLV",767.263124070043,560.880253776604,0,0,0,0,0,1
"SOM",3720.66624320059,121.752588380926,0,1.97315083520887,504.0691898229,0,65.3348950135328,1
"SPM",182.804422913431,0,0,0,0,0,0,1
"STP",265.998253133533,2.40137797933591,0,0,0,0,0,1
"SUR",1250.89677270097,711.286781253074,0,0,0,0,0,1
"SVN",46.6647411501973,0,7.85338662140791,29.0777571902005,0,0,4.71942933659877,1
"SWE",23099.4861910245,0,3017.85022669366,2375.36556469973,0,8.30024658954992,130.106662347084,1
"SXM",29.3101103763941,0,0,12.4367663719361,7.29732410166506,0,9.52625476435054,1
"SYC",762.619501940772,1.42027252602452,0,3.8465385738311,565.520573503344,0,63.5627523696152,1
"SYR",213.7015488661,0,0,24.4167571042318,0,0,0,1
"TCA",801.56204862849,29.0009981412471,0,98.9181013808073,60.8545365948171,0,597.739187535402,1
"TGO",57.5681175179602,0,0,33.2898986080342,0,0,0,1
"THA",8815.71300755695,3863.23827041403,0,430.118247907888,900.442045165515,0,1106.79184822011,1
"TKL",137.828877470597,0,0,0,137.516455543682,0,0,1
"TKM",1643.45707194602,0,0,0,0,0,0,1
"TLS",784.271786814486,27.7465238167497,0,42.3959202110773,297.351440196637,0,52.5131498141575,1
"TON",855.42294663978,15.8117279469147,0,16.6948847631918,437.485341988165,0,326.756862083628,1
"TTO",692.980765096849,130.301815576971,0,56.1963574318297,112.259015534551,0,37.1391233719139,1
"TUN",1950.65118029227,0,0,682.383196785266,0,0,2.24473529901757,1
"TUR",7857.96592217332,0,404.049210225271,16.9856115644108,0,0,0,1
"TUV",245.876251246892,0,0,0,245.199984729829,0,0,1
"TWN",2380.04297044105,34.5930421968842,137.507026031293,107.801377484855,622.259064444036,0,88.7703075362039,1
"TZA",3911.13523718508,1463.35800464796,0,4.8247840729332,826.914616682143,0,1118.18426327044,1
"UKR",4969.13982696616,0,1.35398748063211,782.14369981304,0,0,1.90462172016401,1
"UMI",208.569656743173,0,0,0,206.055932788076,0,0,1
"URY",1660.47004549625,0,39.7755386916094,0,0,0,0,1
