"iso3","total_coastal_length","mangroves_length","saltmarshes_length","seagrasses_length","coralreefs_length","coldcorals_length","multiple_length","buffer"
"ABW",76.8217383926074,0,0,0,53.1915166971997,0,23.4722392377963,1
"AGO",2682.87225952342,518.264145439365,4.89855316922015,184.387530589922,0,0,56.7122556174651,1
"AIA",107.29673867566,0,0,26.8814642944337,42.8784196109737,0,32.4127588606732,1
"ALB",595.296183544202,0,156.180749597744,158.624172404177,0,0,17.1522906537293,1
"ARE",3325.14318487275,225.935543257986,18.3909107280066,853.43133074018,196.08895624249,0,877.808627975027,1
"ARG",10904.6704551456,0,2677.03781566103,0,0,0,0,1
"ASM",194.535560673672,0,0,1.93284900130322,65.7961890560969,0,126.495758564112,1
"ATA",54486.817847023,0,0,0,0,29.7534660489156,0,1
"ATF",3420.34335949933,0,0,0,200.27982750418,0.366401263320427,0,1
"ATG",314.776506159798,45.4766910485892,0.363546827416722,10.9605602484362,114.785103653159,0,80.3986947245387,1
"AUS",72300.5485042471,13167.5274336544,3240.36957435058,6607.98094726143,3924.13304642253,1.97218839322209,20056.4835719368,1
"AZE",1311.4643237844,0,0,7.91096312688277,0,0,0,1
"BEL",248.471513328578,0,57.5732929082252,0,0,0,0,1
"BEN",360.231870375966,39.9620863092058,0,61.0428357945006,0,0,0,1
"BES",154.112838733792,0.089613425434424,0,5.03043004901564,122.111978130619,0,13.7937040695715,1
"BGD",12641.8879041631,4122.44774268111,0,0,0,0,0,1
"BGR",464.768986386401,0,2.7664136362688,0,0,0,0,1
"BHR",555.4369153553,0,0,38.6636606482959,66.3999323218186,0,434.319478202596,1
"BHS",10314.0514559353,4781.54715798233,0,433.796924941085,2066.84126164014,0,1062.40025798338,1
"BIH",33.8176753430987,0,0,0,0,0,0,1
"BLM",59.5930777385576,0,0,4.02950018332459,21.3100641348399,0,34.1470236163073,1
"BLZ",1747.88802427464,296.947089426302,0,48.9938124266471,1.14694658860723,0,1352.56537022189,1
"BMU",168.473925016379,0,0,0,97.9660781527417,4.26602388936466,1.34908521622826,1
"BRA",48002.0860589722,16346.1569635035,185.962991524919,209.442338887058,463.752116601426,0,243.667748825631,1
"BRB",99.6986190016519,0,0,8.53414948939065,43.7650880009888,0,42.5269148218183,1
