iso3,Country/Territory,MAP LABEL,MAP COLOR,STATUS
AFG,Afghanistan,Afghanistan,AFG,Member State
AGO,Angola,Angola,AGO,Member State
ALB,Albania,Albania,ALB,Member State
AND,Andorra,Andorra,AND,Member State
ARE,United Arab Emirates,United Arab Emirates,ARE,Member State
ARG,Argentina,Argentina,ARG,Member State
ARM,Armenia,Armenia,ARM,Member State
ATA,Antarctica,Antarctica,ATA,Antarctica
ATG,Antigua and Barbuda,Antigua and Barbuda,ATG,Member State
AUS,Ashmore and Cartier Islands,Ashmore & Cartier Is. (Aust.),AUS,Territory
AUS,Australia,Australia,AUS,Member State
CXR,Christmas Island,Christmas Is. (Aust.),AUS,Territory
CCK,Cocos (Keeling) Islands,Cocos (Keeling) Is. (Aust.),AUS,Territory
HMD,Heard Island and McDonald Islands,Heard Is. & McDonald Is. (Aust.),AUS,Territory
NFK,Norfolk Island,Norfolk Island (Aust.),AUS,Territory
AUT,Austria,Austria,AUT,Member State
AZE,Azerbaijan,Azerbaijan,AZE,Member State
BDI,Burundi,Burundi,BDI,Member State
BEL,Belgium,Belgium,BEL,Member State
BEN,Benin,Benin,BEN,Member State
BFA,Burkina Faso,Burkina Faso,BFA,Member State
BGD,Bangladesh,Bangladesh,BGD,Member State
BGR,Bulgaria,Bulgaria,BGR,Member State
BHR,Bahrain,Bahrain,BHR,Member State
BHS,Bahamas,Bahamas,BHS,Member State
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Member State
BLR,Belarus,Belarus,BLR,Member State
BLZ,Belize,Belize,BLZ,Member State
BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),BOL,Member State
BRA,Brazil,Brazil,BRA,Member State
BRB,Barbados,Barbados,BRB,Member State
BRN,Brunei Darussalam,Brunei Darussalam,BRN,Member State
BTN,Bhutan,Bhutan,BTN,Member State
BWA,Botswana,Botswana,BWA,Member State
CAF,Central African Republic,Central African Republic,CAF,Member State
CAN,Canada,Canada,CAN,Member State
CHE,Switzerland,Switzerland,CHE,Member State
CHL,Chile,Chile,CHL,Member State
CHN,China,China,CHN,Member State
HKG,Hong Kong,"Hong Kong, China",CHN,Special Region or Province
MAC,Macao,"Macao, China",CHN,Special Region or Province
TWN,Taiwan,"Taiwan, Province of China",CHN,Special Region or Province
CIV,Côte d'Ivoire,Côte d'Ivoire,CIV,Member State
