"iso3","total_value","total_value_protected","protected_percentage"
"ABNJ",4533,1137,25.0827266710788
"ABW",3,0,0
"AGO",7,0,0
"AIA",10,0,0
"ALB",5,0,0
"ARG",117,7,5.98290598290598
"ASM",2,0,0
"ATA",30,8,26.6666666666667
"ATF",26,18,69.2307692307692
"ATG",3,0,0
"AUS",924,157,16.991341991342
"AUS/IDN",2,0,0
"BEN",1,0,0
"BES",71,8,11.2676056338028
"BHS",1004,41,4.08366533864542
"BLM",1,1,100
"BLZ",7,2,28.5714285714286
"BMU",53,0,0
"BRA",483,2,0.41407867494824
"BRB",12,0,0
"CAN",388,9,2.31958762886598
"CHL",187,55,29.4117647058824
"CHN",1,0,0
"CHN/PHL/VNM/TWN/MYS",2,0,0
"CHN/TWN/VNM",20,0,0
"CIV",15,0,0
"COK",7,4,57.1428571428571
"COL",142,13,9.15492957746479
"COL/JAM",1,0,0
"CPV",63,0,0
"CRI",17,3,17.6470588235294
"CUB",183,0,0
"CUW",10,0,0
"CYM",2,0,0
"CYP",4,0,0
"DMA",11,0,0
"DNK",4,0,0
"DOM",85,18,21.1764705882353
"DZA",3,0,0
"ECU",110,71,64.5454545454545
"ERI",3,0,0
"ESH",40,0,0
"ESH/MRT",18,0,0
"ESP",705,191,27.0921985815603
"FJI",5,0,0
"FLK",53,7,13.2075471698113
"FRA",524,283,54.0076335877863
"FRO",788,0,0
"FSM",4,0,0
"GBR",1021,497,48.6777668952008
"GHA",14,0,0
"GIN",2,2,100
"GLP",22,10,45.4545454545455
"GNB",1,0,0
"GNQ",8,4,50
"GRC",27,1,3.7037037037037
"GRD",34,0,0
"GRL",22,0,0
"GTM",1,0,0
"GUF",13,0,0
"GUY",52,0,0
"HMD",2,1,50
"HND",23,0,0
"HRV",139,1,0.719424460431655
"HTI",24,8,33.3333333333333
"IDN",309,4,1.29449838187702
"IND",29,0,0
"IRL",915,388,42.4043715846995
"ISL",269,20,7.43494423791822
"ITA",412,78,18.9320388349515
"JAM",41,1,2.4390243902439
"JPN",343,36,10.4956268221574
"KEN",13,1,7.69230769230769
"KIR",4,0,0
"KNA",20,0,0
"LBR",11,0,0
"LCA",44,2,4.54545454545455
"LKA",4,0,0
"MAR",353,0,0
"MDG",10,0,0
"MEX",319,59,18.4952978056426
"MHL",19,0,0
"MLT",9,5,55.5555555555556
"MMR",17,0,0
"MNE",4,0,0
"MOZ",73,0,0
"MRT",127,0,0
"MSR",9,0,0
"MTQ",29,9,31.0344827586207
"MUS",4,0,0
"MYS",13,0,0
"MYT",2,2,100
"NAM",2,0,0
"NCL",107,69,64.4859813084112
"NFK",166,49,29.5180722891566
"NGA",26,0,0
"NIC",20,0,0
"NOR",3844,924,24.0374609781478
"NZL",1684,330,19.5961995249406
"OMN",17,0,0
"PAN",94,0,0
"PER",11,1,9.09090909090909
"PHL",307,0,0
"PLW",25,5,20
"PNG",11,0,0
"PRI",63,6,9.52380952380952
"PRT",803,139,17.3100871731009
"RUS",24,2,8.33333333333333
"RUS/JPN",2,0,0
"SAU",19,0,0
"SEN",11,0,0
"SGS",360,169,46.9444444444444
"SHN",23,2,8.69565217391304
"SJM",3,0,0
"SOM",58,0,0
"SPM",10,0,0
"STP",1,0,0
"SUR",88,0,0
"SWE",66,37,56.0606060606061
"SYC",5,0,0
"TCA",6,1,16.6666666666667
"THA",46,0,0
"TLS",30,0,0
"TON",2,0,0
"TTO",36,0,0
"TUN",24,0,0
"TUR",7,0,0
"TUV",1,0,0
"TWN",9,0,0
"UMI",19,10,52.6315789473684
"URY",23,0,0
"USA",5651,1511,26.7386303309149
"VCT",37,0,0
"VEN",230,1,0.434782608695652
"VGB",14,0,0
"VIR",8,0,0
"VNM",2,0,0
"VUT",28,0,0
"WLF",46,0,0
"WSM",2,0,0
"YEM",1,0,0
"ZAF",107,34,31.7757009345794
