"region","total_area","protected_area","percent_protected"
"Antarctic",0.001858931512285,0.000713614157265062,38.3884049815201
"East Asian Seas",0.00120442977149272,0.0000124106639713935,1.030418233187
"Eastern Africa",0.000259953624046374,0.0000790273130984406,30.4005429385137
"Mediterranean",15.7270933194415,15.7250046736269,99.9867194415893
"North-East Atlantic",3935.90554302725,1284.52006164169,32.6359473721952
"North-East Pacific",0.000200479941017201,0.000041516786901495,20.7086986811976
"North-West Pacific",0.000369217090241424,0.000117901281282937,31.9327800362231
"Pacific",0.00512231546544418,0.00169050624879635,33.0027750184606
"Red Sea and Gulf of Aden",0.0000372321574632166,0,0
"ROPME Area",0.0000155133599639873,0,0
"South-East Pacific",0.000591017765554126,0.000400703014830829,67.7988104900938
"South Asian Seas",0.0000465399265969622,0,0
"West and Central Africa - WACAF",0.000621109601501468,0.0000124107078035081,1.99815101449189
"Wider Caribbean",0.00600597116420902,0.000559713795532558,9.31928875829479
