"iso3","total_area","protected_area","percent_protected"
"ABNJ",1874.98221419641,421.629372626203,22.4871131807994
"ABW",3.54881962864481,0,0
"AGO",3.39567053773998,0,0
"AIA",3.38364589335382,0,0
"ALB",5.98647948252716,0,0
"ARG",61.8263440651753,6.98422602063557,11.2965211290401
"ASM",0.998440794849897,0,0
"ATA",18.8890674198804,5.41915114173775,28.6893525301
"ATF",14.3193147158519,14.3193147158519,100
"ATG",0.997746538545076,0,0
"AUS",333.428727950404,122.414638995168,36.7138847776118
"BEN",0.997746527205306,0,0
"BES",9.6108429947203,9.6108429947203,100
"BHS",412.761934786788,32.6122202202251,7.9009757130514
"BLM",0.997746564489533,0.997746564489533,100
"BLZ",2.99323973953098,1.99549312134955,66.6666653858546
"BMU",26.3981335788759,0,0
"BRA",233.165254915499,1.99549316229226,0.855827838935714
"BRB",6.37970478883903,0,0
"CAN",204.280433116829,18.094740136832,8.85779409253728
"CHL",86.8581116896839,46.2352596925966,53.2307907611213
"CHN",0.997746571639701,0,0
"CIV",9.97746576754958,0,0
"COK",2.3826012700284,2.3826012700284,100
"COL",56.1477557221478,13.006357525919,23.1645189707709
"CPV",34.3151290222723,0,0
"CRI",8.97971910900959,2.99323973787266,33.3333337216468
"CUB",56.277985296135,0,0
"CUW",4.9887328907093,0,0
"CYM",1.99549313274619,0,0
"CYP",0.998101946907064,0,0
"DMA",7.3651650429386,0,0
"DNK",2.99365873047323,0,0
"DOM",20.0701086865526,17.4317996988043,86.8545356233371
"DPT",229.89902396618,185.243639172674,80.5760877001048
"DZA",2.5290385636979,0,0
"ECU",52.6278347129635,50.6323415510359,96.208293248599
"ERI",2.74578579390164,0,0
"ESP",1469.083604719,1257.6253680984,85.6061128215338
"FJI",2.99323971956311,0,0
"FRA",239.896192978977,178.912849201316,74.5792782201402
"FRO",287.549263288492,0,0
"FSM",1.99549317053256,0,0
"GBR",352.975252551642,202.820857976763,57.4603620255472
"GHA",7.61553161242364,0,0
"GIN",0.998146567593262,0.998146567593262,100
"GLP",9.19477485048201,9.16986702835446,99.7291089501093
"GNB",0.997746560532099,0,0
"GNQ",4.39760340599616,3.26008430454921,74.1332040107132
"GRC",17.0600645525478,0.997746578259555,5.84843378046038
"GRD",14.9650777683986,0.278272351153,1.85947814945955
"GRL",18.3319350570199,0,0
"GTM",0.997746563836964,0,0
"GUF",5.98647933098521,0,0
"GUY",15.4553640726882,0,0
"HMD",1.99549314057558,0.997746560926959,49.9999995309014
"HND",12.3844405176936,0.997746580674196,8.05645260477223
"HRV",72.3828884378215,0.997746571876348,1.37842878808772
"HTI",3.99098626516811,0,0
"IDN",144.255161624918,3.9909863193429,2.76661595632881
"IND",10.9752122615403,0,0
"IRL",474.374394242633,187.917398643326,39.6137314585345
"ISL",528.361101493694,316.867529204908,59.9717746649238
"ITA",166.128989497245,48.9377945872373,29.4577091784748
"JAM",19.5994634664317,0.997746576420656,5.09068311043061
"JPN",95.2004617816563,9.59890596500837,10.0828355087432
"KEN",3.99098631850294,0,0
"KIR",1.99549316032311,0,0
"KNA",6.51111490902298,0,0
"LBR",6.93362618358551,0,0
"LCA",12.3844174162346,1.76116507923105,14.220814916351
"LKA",3.99098634737099,0,0
"MAR",152.069298267823,0,0
"MDG",9.37406314085495,0.997746585254377,10.6436938845217
"MEX",117.738383967179,45.9973331117806,39.0674065346462
"MHL",8.97971910029726,0,0
"MLT",4.34711451271544,3.33789040240339,76.78404589159
"MMR",5.98647941695625,0,0
"MNE",1.99549313801732,0,0
"MOZ",11.9729587680157,0,0
"MRT",39.6204336641054,0,0
"MSR",6.96977023996479,0,0
"MTQ",6.54682430758551,6.54682430758551,100
"MUS",0.997746579673261,0,0
"MYS",7.47166374201478,0.100966641788051,1.35132743220621
"NAM",1.99549315598508,0,0
"NCL",69.5987054118583,61.6450588823612,88.5721343774565
"NFK",41.7871319935976,41.6953290439574,99.7803080870582
