"iso3","total_area_1996","total_area_2008","total_area_2009","total_area_2010baseline","total_area_2015","total_area_2016","protected_area","percent_protected","presence"
AGO,374.7290789,365.7802386,366.4211253,365.3754461,362.0567157,365.1003111,365.2772543,1.68759754,0.450130853
ARE,79.43452079,76.95717603,77.09221332,77.23747143,77.4483744,74.28089548,72.67052195,11.21921212,15.44658176
ATG,9.092128064,9.092128064,9.106630682,9.076755784,8.889912803,8.839575476,8.896760097,4.444753674,50.14940265
AUS,9953.07281,9859.296595,9872.140715,9874.150007,9894.706045,9669.944013,9672.625772,4833.064623,49.40833954
BEN,1.207738879,0.828267986,0.909139507,0.902918343,0.810493452,1.693845931,1.4059156,0,0
BES,2.151500037,1.829638648,1.796405531,1.785910466,1.663469518,1.743058652,1.673965478,1.663866768,99.99802415
BGD,4098.913768,4096.78504,4094.367675,4089.631296,4101.144958,4058.664614,4046.134068,3752.029596,91.80121377
BHR,0.863855578,0.746005982,0.822693882,0.822693882,0.842874392,0.841259921,0.820275415,0,0
BHS,1079.357192,1030.834434,1030.523186,1028.553415,989.0030231,988.0793555,970.1016339,629.3135063,64.89873488
BLZ,533.5224054,522.3653875,525.4561162,523.3294218,444.9426042,482.8038054,478.3729695,157.684986,32.70030999
BRA,11240.56178,10978.25687,10985.95419,10988.80472,10998.69774,10859.66322,10888.035,9402.370487,86.34082171
BRN,108.7347804,105.9817019,106.5000826,106.8237902,108.1240347,105.7789428,106.2822371,66.71809789,58.87358139
CHN,157.7187864,157.7187864,155.0701364,153.0353744,152.4220931,158.2756165,159.0185243,10.3484995,6.688919669
CIV,62.83329122,61.46870962,61.42782541,61.29867471,60.97886193,60.3261392,57.91965516,4.35936209,7.545382965
CMR,1886.049732,1884.664374,1884.590079,1884.919127,1892.828407,1878.497198,1878.678321,1412.963618,74.90429344
COD,274.7426103,265.3795376,265.6478318,265.1806509,265.5549856,266.8918204,265.2722039,251.1441218,98.36403243
COL,2469.709593,2357.456759,2373.224545,2368.613628,2299.509579,2293.012292,2286.585667,1067.076478,46.66527805
COM,1.054134191,1.054134191,1.057629603,1.061125,1.060251199,1.060251199,1.060251199,0.953654962,91.63985489
CRI,374.9113042,368.026727,368.1127777,367.9026087,366.603108,364.8603736,362.0384482,178.5534195,49.34262841
CUB,3517.168424,3410.746492,3406.071396,3400.080906,3354.194833,3354.621064,3343.073764,1712.024011,51.20318262
CYM,43.21232957,42.10817595,42.11328382,42.08882551,41.61445615,41.43453124,41.56540635,9.255999297,22.27811234
DJI,4.974720671,4.944098529,4.941471124,4.941471124,4.941471124,5.008813189,4.930094964,0,0
