"region","total_area","protected_area","percent_protected"
"Baltic Sea",974.729878769828,530.343194307736,54.409247716615
"Black Sea",6626.24969985025,1481.86033394068,22.3634846416091
"East Asian Seas",44744.427375601,7700.39796179589,17.2097363033746
"Eastern Africa",11225.392850075,3236.1457447203,28.8287972451554
"Mediterranean",17052.4383269923,6265.28042247545,36.741258360443
"North-East Atlantic",853.927549032811,650.698508763768,76.2006694245633
"North-East Pacific",7.65262788652782,2.68393809359673,35.0721103050328
"North-West Pacific",490.659636685837,417.714115213339,85.1331725663825
"Pacific",30560.9714847651,8363.20746036697,27.3656466206779
"Red Sea and Gulf of Aden",32601.8191692013,3607.10717678712,11.0641285324186
"ROPME Area",11345.6579424131,2641.34798002098,23.2806946360238
"South Asian Seas",9544.35513125114,370.979813450864,3.8869028692799
"West and Central Africa - WACAF",47689.593987977,9800.88177439799,20.5514053587223
"Wider Caribbean",60307.7397093646,24419.8093690201,40.4919990148929
