SourceID,Citation,Geographic_scope,Title,Author1,Author 2,Year,Publisher,Link
1,"Green, E.P. and Short, F.T. (2003). World Atlas of Seagrasses. UNEP-WCMC, University of California Press.",Global,World Atlas of Seagrasses,"Green, E.P.","Short, F.T.",2003,"UNEP-WCMC, University of California Press",
2,"Telesca, L. et al. (2015). Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Nature Scientific Reports 5. Available at: https://www.nature.com/articles/srep12505",Mediterranean,Seagrass meadows (Posidonia oceanica) distribution and trajectories of change,"Telesca, L.",et al.,2015,Nature Scientific Reports 5,https://www.nature.com/articles/srep12505
3,"Score, A. (2017). Rapid Vulnerability Assessment and Adaptation Strategies for the National Marine Sanctuary and Territory of American Samoa. EcoAdapt, Bainbridge Island, WA. Available at: https://www.cakex.org/sites/default/files/documents/American%20Samoa%20VAAS%20Report%204.5.17.pdf",American Samoa,Rapid Vulnerability Assessment and Adaptation Strategies for the National Marine Sanctuary and Territory of American Samoa,"Score, A.",,2017,"EcoAdapt, Bainbridge Island, WA",https://www.cakex.org/sites/default/files/documents/American%20Samoa%20VAAS%20Report%204.5.17.pdf
4,"Skelton, P.A. (2003). Seaweeds of American Samoa. International Ocean Institute. Available at: http://www.botany.hawaii.edu/basch/uhnpscesu/pdfs/sam/Skelton2003SeaweedsAS.pdf",American Samoa,Seaweeds of American Samoa,"Skelton, P.A.",,2003,International Ocean Institute,http://www.botany.hawaii.edu/basch/uhnpscesu/pdfs/sam/Skelton2003SeaweedsAS.pdf
5,"Hemminga, M. A. and Duarte, C. M. (2000). Seagrass ecology. Cambridge University Press, Nature. Available at: https://books.google.co.uk/books?hl=en&lr=&id=uet0dSgzhrsC&oi=fnd&pg=PP1&dq=seagrass+antarctica&ots=vFacqOv3Rn&sig=F91ZH5-nSgDQZf5C8Chu1tM0CWE#v=onepage&q=antarctic&f=false",Global,Seagrass ecology,"Hemminga, M. A.","Duarte, C. M.",2000,"Cambridge University Press, Nature",https://books.google.co.uk/books?hl=en&lr=&id=uet0dSgzhrsC&oi=fnd&pg=PP1&dq=seagrass+antarctica&ots=vFacqOv3Rn&sig=F91ZH5-nSgDQZf5C8Chu1tM0CWE#v=onepage&q=antarctic&f=false
6, (). Regional State of the Coast Report: Western Indian Ocean. . Available at: https://dx.doi.org/10.18356/24683d55-en,Western Indian Ocean,Regional State of the Coast Report: Western Indian Ocean,,,,,https://dx.doi.org/10.18356/24683d55-en
7,"UNEP-WCMC and Short, F.T. (2018). Global distribution of seagrasses. UNEP. Available at: https://data.unep-wcmc.org/datasets/7",Global,Global distribution of seagrasses,UNEP-WCMC,"Short, F.T.",2018,UNEP,https://data.unep-wcmc.org/datasets/7
8,"Price, A.G. et al. (2000). Environmental and bioeconomic characterisation of coastal and marine systems of Cameroon, including risk implications of the Chad-Cameroon pipeline project. Aquatic Ecosystem Health & Management. Available at: https://www.tandfonline.com/doi/pdf/10.1080/14634980008656996?casa_token=TfrKn9nQfyMAAAAA:s5bKnDV6xykVWpXxo0h75BMA4EyoAAz_tmFSqvk8AO0mHjq51qOl0O5UF7_zKwFcYU9d0HfC_SGDxQ","Cameroon, Chad","Environmental and bioeconomic characterisation of coastal and marine systems of Cameroon, including risk implications of the Chad-Cameroon pipeline project","Price, A.G.",et al.,2000,Aquatic Ecosystem Health & Management,https://www.tandfonline.com/doi/pdf/10.1080/14634980008656996?casa_token=TfrKn9nQfyMAAAAA:s5bKnDV6xykVWpXxo0h75BMA4EyoAAz_tmFSqvk8AO0mHjq51qOl0O5UF7_zKwFcYU9d0HfC_SGDxQ
9,"Marino, J.J. and Mendoza, M.D. (2018). Composition and abundance of decapod crustaceans in mixed seagrass meadows in the Paraguana Peninsula, Venezuela. Iheringia. Serie Zoologia. Available at: http://www.scielo.br/scielo.php?pid=S0073-47212018000100204&script=sci_arttext",Venezuela,"Composition and abundance of decapod crustaceans in mixed seagrass meadows in the Paraguana Peninsula, Venezuela","Marino, J.J.","Mendoza, M.D.",2018,Iheringia. Serie Zoologia.,http://www.scielo.br/scielo.php?pid=S0073-47212018000100204&script=sci_arttext
10,"Stankovic, M.M. et al. (2017). Carbon Content in Different Seagrass Species in Andaman Coast of Thailand. Sains Malaysiana. Available at: http://www.ukm.my/jsm/pdf_files/SM-PDF-46-9-2017/12%20Milica%20Stankovic.pdf",Thailand,Carbon Content in Different Seagrass Species in Andaman Coast of Thailand,"Stankovic, M.M.",et al.,2017,Sains Malaysiana,http://www.ukm.my/jsm/pdf_files/SM-PDF-46-9-2017/12%20Milica%20Stankovic.pdf
