Habitat,ISO3,Citation
cold-water corals,ABW,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curacao and other Caribbean Islands, 57(1), 1-341. URL: http://hdl.handle.net/10088/165"
cold-water corals,ABW,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
coralreefs,ABW,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre."
mangroves,ABW,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
cold-water corals,ABW,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,AGO,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,AGO,"Le Guilloux, E., Olu, K., Bourillet, J. F., Savoye, B., Iglesias, S. P., & Sibuet, M. (2009). First observations of deep-sea coral reefs along the Angola margin. Deep Sea Research Part II: Topical Studies in Oceanography, 56(23), 2394-2403. DOI: https://doi.org/10.1016/j.dsr2.2009.04.014"
mangroves,AGO,"NASA Landsat Program, 2003, Landsat TM 5 & Landsat 7 ETM+, SLC-Off, USGS, Sioux Falls, 10/26/2003."
seagrasses,AGO,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
cold-water corals,AGO,"Rogers, A. D. (1999). The Biology of Lophelia pertusa (Linnaeus 1758) and Other Deep-Water Reef-Forming Corals and Impacts from Human Activities. International review of hydrobiology, 84(4), 315-406. DOI: https://doi.org/10.1002/iroh.199900032"
cold-water corals,AGO,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
cold-water corals,AIA,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,AIA,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Anguilla: preliminary data atlas. Survey of Conservation Priorities in the Lesser Antilles
mangroves,AIA,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Aruba. Preliminary Data Atlas. Survey of Conservation Priorities in the Lesser Antilles.
coralreefs,AIA,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,AIA,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: https://www.protectedplanet.net."
cold-water corals,AIA,"Studer & Bern, 1889 Zoology Volume LXXXI:  Supplementary Report on the Alcyonaria collected by H.M.S. Challenger during the Years 1873-76. 31 pp. H.M.S. Challenger Reports, Volume 32, 1889"
seagrasses,AIA,Unknown. 2004. Anguilla datasets gathered by Phill Fox at IPIECA Caribbean conference (source to be confirmed on return).
cold-water corals,AIA,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
seagrasses,ALB,"Belluscio, A., Panayiotidis, P., Gristina, M., Knittweis, L., Pace, M.L., Telesca, L., Criscoli, A., Apostolaki, E.T., Gerakaris, V., Fraschetti, S. & Spedicato, M.T. (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. Giannoulaki et al.). DG - MARE SI2.600741. Hellenic Centre for Marine Research."
saltmarshes,ALB,BirdLife International & Conservation International (2013). Global Distribution of Important Bird and Biodiversity Areas (IBAs). Cambridge (UK): BirdLife International. URL: http://www.birdlife.org/datazone/site/search
cold-water corals,ALB,"Broch, H. (1953) Octocorals and Stony Corals of the High Adriatic Trawling Grounds. IZVJESCA Reports Vol. VI, No. 2 Institut za Oceanografiju i Ribarstvo, Split, Croatia"
saltmarshes,ALB,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
seagrasses,ALB,"Telesca, L., Belluscio, A., Criscoli, A., Ardizzone, G., Apostolaki, E.T., Fraschetti, S., Gristina, M., Knittweis, L., Martin, C.S. et al. 2015. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Scientific reports, 5. DOI: https://doi.org/10.1038/srep12505"
seagrasses,ANT,"De Meyer, K. (1998). Bonaire, Netherlands Antilles. In: Kjerfve, B. (Ed.)  CARICOMP - Caribbean Coral Reef, Seagrass and Mangrove Sites: 141-149."
seagrasses,ANT,"Debrot, A.O. & Sybesema, J. (2000). The Dutch Antilles. In: Sheppard, C.R.C. (Ed.) Seas at the Millennium: an environmental evaluation 1: 595-614."
seagrasses,ANT,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Saint Martin/Sint Maarten: preliminary data atlas. Survey of Conservation Priorities in the Lesser Antilles
seagrasses,ANT,"Nijkamp, H., Djohani, R., Meesters, E. 9999. The marine environment of St. Maarten: optimizing use and protection of the island's marine resources."
saltmarshes,ARE,"Environment Agency Abu Dhabi. (2006). Abu Dhabi Habitat Mapping Data, Environmental Database."
coralreefs,ARE,"Environment Agency-Abu Dhabi, the National Coral Reef Institute Florida (NCRI), Dolphin Energy Ltd., WWF - the Emirate Wildlife Society, and the Ministry of Environment of the State of Qatar. (2006). Arabian Gulf coral reefs."
mangroves,ARE,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,ARE,"Parr, Steve & Holness, Stephen & Glavan, Jane. (2014). Systematic Conservation Planning Assessments and Spatial Prioritizations for the Emirate of Abu Dhabi, the United Arab Emirates and the Arabian Peninsula. "
coralreefs,ARE,"Petroconsultants SA (1990). Mundocart/CD. Version 2.0. 1: 1 000 000 world map prepared from the Operational Navigational Charts of the United States Defense Mapping Agency. Petroconsulants (CES) Ltd, London, UK."
seagrasses,ARE,"Phillips, R. C. (2000). Distribution of seagrasses in Abu Dhabi, Emirate United Arab Emirates, Arabian Gulf."
coralreefs,ARE,"UNEP/IUCN (1988). Coral Reefs of the World: Volume 2: Indian Ocean, Red Sea and Gulf. UNEP Regional Seas Directories and Bibliographies.  IUCN, Gland, Switzerland and Cambridge, U.K./UNEP, Nairobi, Kenya."
cold-water corals,ARG,"Cairns, S. D. (1982). Stony corals (Cnidaria: Hydrozoa, Scleractinia) of Carrie Bow Cay, Belize. Smithsonian Contributions to the Marine Sciences. 272�302. DOI: https://doi.org/10.5479/si.01960768.12.272"
cold-water corals,ARG,"Goldstein, S. J., Lea, D. W., Chakraborty, S., Kashgarian, M., & Murrell, M. T. (2001). Uranium-series and radiocarbon geochronology of deep-sea corals: implications for Southern Ocean ventilation rates and the oceanic carbon cycle. Earth and Planetary Science Letters, 193(1-2), 167-182."
saltmarshes,ARG,"Isacch J.P., Costa C.S.B., Rodríguez-Gallego L., Conde D., Escapa M., Gagliardini D.A & Iribarne O. (2006) Distribution of saltmarsh plant communites associated with environmental factors along a latitudinal gradient on the SW Atlantic coast. Journal of Biogeography 33:800."
cold-water corals,ARG,"Margolin, A.R., Robinson, L.F., Burke, A., Waller, R.G., Scanlon, K.M., Roberts, M.L., Auro, M.E. & van de Flierdt, T. (2014).Temporal and spatial distributions of cold-water corals in the Drake Passage: Insights from the last 35,000 years. Deep Sea Research II 99: 237-248. DOI: https://doi.org/10.1016/j.dsr2.2013.06.008"
