"COUNTRY","ISO3","Seagrasses","Sources_Seagrasses","Saltmarshes","Sources_Saltmarshes","Mangroves","Sources_Mangroves","Warm_water_corals","Sources_Warm_water_corals","Cold_water_corals","Sources_Cold_water_corals"
"Aruba","ABW",2,"90;1;13;61",2,"90;98",2,"114;90;129;132",2,"77",1,NA
"Angola","AGO",2,"1;90;78",2,"90",2,"114;90",1,NA,2,"146;140"
"Anguilla","AIA",2,"1;90;33;61",2,"90",2,"90;114;129;132",2,"90",2,"90"
"Åland Islands","ALA",2,"1;90;11;12",2,"90",0,"115;116",0,"77;130",1,NA
"Albania","ALB",2,"1;90;2;57",2,"90",0,"115;116",2,"90",2,"90"
"United Arab Emirates","ARE",2,"1;90;64;75",2,"90",2,"114;90",2,"90",2,"90"
"Argentina","ARG",2,"90;1",2,"90;98;94",0,"102;118",1,NA,1,NA
"American Samoa","ASM",2,"1;90;3;4;17;48",2,"109;90",2,"90;114",2,"90",2,"90"
"Antarctica","ATA",0,"5;28",0,"89",0,"115;116",0,"77;130",1,NA
"French Southern and Antarctic Territories","ATF",2,"90",2,"90;89",0,"115;102",0,"77;130",1,NA
"Antigua and Barbuda","ATG",2,"1;90;61",2,"90",2,"114;90;129;132",2,"90",2,"90"
"Australia","AUS",2,"1;90;79",2,"90;91;101;102",2,"114;90;131",2,"151;90;140",2,"151;90;140"
"Azerbaijan","AZE",2,"1;90",2,"90",0,"115;116",0,"77;130",1,NA
"Belgium","BEL",1,NA,2,"90;107",0,"115;116",0,"77;130",1,NA
"Benin","BEN",2,"1;90",2,"90;105;106",2,"114;90;137",2,"90",2,"90"
"Bonaire, Sint Eustatius, and Saba","BES",2,"90;1;42",2,"90;98",2,"114;90;132",2,"90",2,"90"
"Bangladesh","BGD",2,"1;90;50",2,"90;103",2,"90;114",2,"",1,NA
"Bulgaria","BGR",2,"1;90",2,"90",0,"115;116",1,NA,1,NA
"Bahrain","BHR",2,"1;90;64;75",2,"90",2,"114;90",2,"90",2,"90"
"Bahamas","BHS",2,"1;90;84",2,"90",2,"90;114;132",2,"90;150;155",2,"90;150;155"
"Bosnia and Herzegovina","BIH",1,NA,2,"90",0,"115;116",1,NA,2,"90"
"Saint Barthélemy","BLM",2,"1;90;19;61",2,"90",2,"114;90",2,"90",2,"90"
"Belize","BLZ",2,"1;90;23",2,"90",2,"114;90;132",2,"156;90",2,"156;90"
"Bermuda","BMU",2,"1;90",2,"90",2,"114;90;77;132",2,"90",2,"90"
"Brazil","BRA",2,"1;90;51",2,"90;94",2,"114;90;132",2,"157;155;90;140",2,"157;155;90;140"
"Barbados","BRB",2,"1;90;44",2,"90",2,"90;114;129;132",2,"90",2,"90"
"Brunei Darussalam","BRN",2,"1;90",2,"90",2,"90;114;119;139",2,"77",1,NA
"Bouvet Island","BVT",0,"1",2,"90;89",0,"114;115;116",0,"77;130",1,NA
"Canada","CAN",2,"1;90;54",2,"90",0,"115;116",0,"77;130",2,"143;140"
"Cocos (Keeling) Islands","CCK",2,"1;90;14;15;16",2,"90;111",2,"114;90",2,"",1,NA
"Chile","CHL",2,"1;90;55",2,"90",0,"114;115;102;124",2,"154;140",2,"154;140"
"China","CHN",2,"1;90;56",2,"90;102",2,"114;90",2,"90;140",2,"90;140"
"Côte D'Ivoire","CIV",1,NA,2,"90",2,"114;90;137",2,"90",2,"90"
"Cameroon","CMR",0,"7;8",2,"90",2,"114;90;137",2,"90",2,"90"
"Democratic Republic of the Congo","COD",1,NA,2,"90",2,"114;90",0,"77;130",1,NA
"Congo","COG",0,NA,2,"90",2,"114;90",1,NA,1,NA
"Cook Islands","COK",0,"17;48",2,"90",2,"90;123;77",2,"90",2,"90"
"Colombia","COL",2,"1;90;61",2,"90",2,"114;90;132",2,"90;150;140",2,"90;150;140"
"Comoros","COM",2,"1;90",2,"90",2,"90;114",2,"90",2,"90"
"Cabo Verde","CPV",2,"1;90;28;53",2,"90;110",1,NA,2,"90;159;140",2,"90;159;140"
"Costa Rica","CRI",2,"1;90;24;61",2,"90",2,"114;90;132",2,"90",2,"90"
"Cuba","CUB",2,"1;90",2,"90",2,"114;90;132",2,"90;150;140",2,"90;150;140"
"Curaçao","CUW",2,"90;1;13",2,"90;98",2,"114;90;132",2,"90;155",2,"90;155"
"Christmas Island","CXR",0,"14",2,"90;89",2,"90;114",2,"",1,NA
"Cayman Islands","CYM",2,"90;1",2,"90",2,"90;114;132",2,"90",2,"90"
"Cyprus","CYP",2,"1;90;2",2,"90",0,"115;116",2,"90",2,"90"
"Germany","DEU",2,"1;90;89",2,"90;104",0,"115;116",0,"77;130",1,NA
"Djibouti","DJI",1,NA,2,"90",2,"114;90",2,"90",2,"90"
