name,iso3,bounding-box
Antarctic,ABNJ,0 0;0 0
Antarctic,ATA,0 0;0 0
Antarctic,ATF,0 0;0 0
Antarctic,BVT,0 0;0 0
Antarctic,HMD,0 0;0 0
Antarctic,SGS,0 0;0 0
Antarctic,ZAF,0 0;0 0
Baltic Sea,DEU,1 0;0 0
Baltic Sea,DNK,1 0;0 0
Baltic Sea,EST,1 0;0 0
Baltic Sea,FIN,1 0;0 0
Baltic Sea,LTU,1 0;0 0
Baltic Sea,LVA,1 0;0 0
Baltic Sea,POL,1 0;0 0
Baltic Sea,RUS,1 0;0 0
Baltic Sea,SWE,1 0;0 0
Black Sea,BGR,2 0;0 0
Black Sea,GEO,2 0;0 0
Black Sea,ROU,2 0;0 0
Black Sea,RUS,2 0;0 0
Black Sea,TUR,2 0;0 0
Black Sea,UKR,2 0;0 0
Caspian Sea,AZE,3 0;0 0
Caspian Sea,IRN,3 0;0 0
Caspian Sea,KAZ,3 0;0 0
Caspian Sea,RUS,3 0;0 0
Caspian Sea,TKM,3 0;0 0
East Asian Seas,CHN,4 0;0 0
East Asian Seas,CHN/PHL/VNM/TWN/MYS,4 0;0 0
East Asian Seas,CHN/TWN/VNM,4 0;0 0
East Asian Seas,HKG,4 0;0 0
East Asian Seas,IDN,4 0;0 0
East Asian Seas,KHM,4 0;0 0
East Asian Seas,MMR,4 0;0 0
East Asian Seas,MYS,4 0;0 0
East Asian Seas,PHL,4 0;0 0
East Asian Seas,SGP,4 0;0 0
East Asian Seas,THA,4 0;0 0
East Asian Seas,TWN,4 0;0 0
East Asian Seas,VNM,4 0;0 0
Eastern Africa,ATF,5 0;0 0
Eastern Africa,COM,5 0;0 0
Eastern Africa,KEN,5 0;0 0
Eastern Africa,KEN/SOM,5 0;0 0
Eastern Africa,MDG,5 0;0 0
Eastern Africa,MOZ,5 0;0 0
Eastern Africa,MUS,5 0;0 0
Eastern Africa,MYT,5 0;0 0
Eastern Africa,REU,5 0;0 0
Eastern Africa,SOM,5 0;0 0
Eastern Africa,SYC,5 0;0 0
Eastern Africa,TZA,5 0;0 0
Eastern Africa,ZAF,5 0;0 0
Mediterranean,ALB,6 0;0 0
Mediterranean,CYP,6 0;0 0
Mediterranean,DZA,6 0;0 0
Mediterranean,EGY,6 0;0 0
Mediterranean,ESP,6 0;0 0
Mediterranean,FRA,6 0;0 0
Mediterranean,GRC,6 0;0 0
Mediterranean,HRV,6 0;0 0
Mediterranean,ISR,6 0;0 0
Mediterranean,ITA,6 0;0 0
Mediterranean,LBN,6 0;0 0
Mediterranean,LBY,6 0;0 0
Mediterranean,MAR,6 0;0 0
Mediterranean,MCO,6 0;0 0
Mediterranean,MLT,6 0;0 0
Mediterranean,MNE,6 0;0 0
Mediterranean,SVN,6 0;0 0
Mediterranean,SYR,6 0;0 0
Mediterranean,TUN,6 0;0 0
Mediterranean,TUR,6 0;0 0
North-East Atlantic,ABNJ,7 0;0 0
North-East Atlantic,BEL,7 0;0 0
North-East Atlantic,DEU,7 0;0 0
North-East Atlantic,DNK,7 0;0 0
North-East Atlantic,ESP,7 0;0 0
North-East Atlantic,FRA,7 0;0 0
North-East Atlantic,FRO,7 0;0 0
North-East Atlantic,GBR,7 0;0 0
North-East Atlantic,GGY,7 0;0 0
North-East Atlantic,GRL,7 0;0 0
North-East Atlantic,IRL,7 0;0 0
North-East Atlantic,ISL,7 0;0 0
North-East Atlantic,JEY,7 0;0 0
North-East Atlantic,NLD,7 0;0 0
North-East Atlantic,NOR,7 0;0 0
North-East Atlantic,PRT,7 0;0 0
North-East Atlantic,RUS,7 0;0 0
North-East Atlantic,SJM,7 0;0 0
North-East Atlantic,SWE,7 0;0 0
North-East Pacific,COL,8 0;0 0
North-East Pacific,CRI,8 0;0 0
North-East Pacific,GTM,8 0;0 0
North-East Pacific,HND,8 0;0 0
North-East Pacific,MEX,8 0;0 0
North-East Pacific,NIC,8 0;0 0
North-East Pacific,PAN,8 0;0 0
North-East Pacific,SLV,8 0;0 0
North-West Pacific,CHN,9 0;0 0
North-West Pacific,CHN/TWN/JPN,9 0;0 0
North-West Pacific,JPN,9 0;0 0
North-West Pacific,JPN/KOR,9 0;0 0
North-West Pacific,KOR,9 0;0 0
North-West Pacific,PRK,9 0;0 0
North-West Pacific,RUS,9 0;0 0
North-West Pacific,RUS/JPN,9 0;0 0
Pacific,ABNJ,10 0;0 0
Pacific,ASM,10 0;0 0
Pacific,AUS,10 0;0 0
Pacific,AUS/PNG,10 0;0 0
Pacific,COK,10 0;0 0
Pacific,FJI,10 0;0 0
Pacific,FSM,10 0;0 0
Pacific,GUM,10 0;0 0
Pacific,KIR,10 0;0 0
Pacific,MHL,10 0;0 0
Pacific,MNP,10 0;0 0
Pacific,NCL,10 0;0 0
Pacific,NFK,10 0;0 0
Pacific,NIU,10 0;0 0
Pacific,NRU,10 0;0 0
Pacific,NZL,10 0;0 0
Pacific,PCN,10 0;0 0
Pacific,PLW,10 0;0 0
Pacific,PNG,10 0;0 0
Pacific,PYF,10 0;0 0
Pacific,SLB,10 0;0 0
Pacific,TKL,10 0;0 0
Pacific,TON,10 0;0 0
Pacific,TUV,10 0;0 0
Pacific,UMI,10 0;0 0
Pacific,VUT,10 0;0 0
Pacific,WLF,10 0;0 0
Pacific,WSM,10 0;0 0
Red Sea and Gulf of Aden,DJI,11 0;0 0
Red Sea and Gulf of Aden,EGY,11 0;0 0
Red Sea and Gulf of Aden,EGY/SDN,11 0;0 0
Red Sea and Gulf of Aden,JOR,11 0;0 0
Red Sea and Gulf of Aden,SAU,11 0;0 0
Red Sea and Gulf of Aden,SDN,11 0;0 0
Red Sea and Gulf of Aden,SOM,11 0;0 0
Red Sea and Gulf of Aden,YEM,11 0;0 0
ROPME Area,ARE,12 0;0 0
ROPME Area,BHR,12 0;0 0
ROPME Area,IRN,12 0;0 0
ROPME Area,IRQ,12 0;0 0
ROPME Area,KWT,12 0;0 0
ROPME Area,OMN,12 0;0 0
ROPME Area,QAT,12 0;0 0
ROPME Area,SAU,12 0;0 0
South-East Pacific,ARG,13 0;0 0
South-East Pacific,CHL,13 0;0 0
South-East Pacific,COL,13 0;0 0
South-East Pacific,ECU,13 0;0 0
South-East Pacific,PAN,13 0;0 0
South-East Pacific,PER,13 0;0 0
South Asian Seas,BGD,14 0;0 0
South Asian Seas,IND,14 0;0 0
South Asian Seas,LKA,14 0;0 0
South Asian Seas,MDV,14 0;0 0
South Asian Seas,PAK,14 0;0 0
West and Central Africa - WACAF,AGO,15 0;0 0
West and Central Africa - WACAF,BEN,15 0;0 0
West and Central Africa - WACAF,CIV,15 0;0 0
West and Central Africa - WACAF,CMR,15 0;0 0
West and Central Africa - WACAF,COD,15 0;0 0
West and Central Africa - WACAF,COG,15 0;0 0
West and Central Africa - WACAF,CPV,15 0;0 0
West and Central Africa - WACAF,GAB,15 0;0 0
West and Central Africa - WACAF,GHA,15 0;0 0
West and Central Africa - WACAF,GIN,15 0;0 0
West and Central Africa - WACAF,GMB,15 0;0 0
West and Central Africa - WACAF,GNB,15 0;0 0
West and Central Africa - WACAF,GNQ,15 0;0 0
West and Central Africa - WACAF,LBR,15 0;0 0
West and Central Africa - WACAF,MRT,15 0;0 0
West and Central Africa - WACAF,NAM,15 0;0 0
West and Central Africa - WACAF,NGA,15 0;0 0
West and Central Africa - WACAF,NGA/STP,15 0;0 0
West and Central Africa - WACAF,SEN,15 0;0 0
West and Central Africa - WACAF,SLE,15 0;0 0
West and Central Africa - WACAF,STP,15 0;0 0
West and Central Africa - WACAF,TGO,15 0;0 0
West and Central Africa - WACAF,ZAF,15 0;0 0
Wider Caribbean,ABW,16 0;0 0
Wider Caribbean,AIA,16 0;0 0
Wider Caribbean,ATG,16 0;0 0
Wider Caribbean,BES,16 0;0 0
Wider Caribbean,BHS,16 0;0 0
Wider Caribbean,BLM,16 0;0 0
Wider Caribbean,BLZ,16 0;0 0
Wider Caribbean,BRB,16 0;0 0
Wider Caribbean,COL,16 0;0 0
Wider Caribbean,COL/JAM,16 0;0 0
Wider Caribbean,CRI,16 0;0 0
Wider Caribbean,CUB,16 0;0 0
Wider Caribbean,CUW,16 0;0 0
Wider Caribbean,CYM,16 0;0 0
Wider Caribbean,DMA,16 0;0 0
Wider Caribbean,DOM,16 0;0 0
Wider Caribbean,GLP,16 0;0 0
Wider Caribbean,GRD,16 0;0 0
Wider Caribbean,GTM,16 0;0 0
Wider Caribbean,GUF,16 0;0 0
Wider Caribbean,GUY,16 0;0 0
Wider Caribbean,HND,16 0;0 0
Wider Caribbean,HTI,16 0;0 0
Wider Caribbean,JAM,16 0;0 0
Wider Caribbean,KNA,16 0;0 0
Wider Caribbean,LCA,16 0;0 0
Wider Caribbean,MAF,16 0;0 0
Wider Caribbean,MEX,16 0;0 0
Wider Caribbean,MSR,16 0;0 0
Wider Caribbean,MTQ,16 0;0 0
Wider Caribbean,NIC,16 0;0 0
Wider Caribbean,PAN,16 0;0 0
Wider Caribbean,PRI,16 0;0 0
Wider Caribbean,SUR,16 0;0 0
Wider Caribbean,SXM,16 0;0 0
Wider Caribbean,TCA,16 0;0 0
Wider Caribbean,TTO,16 0;0 0
Wider Caribbean,TTO/VEN/GUY,16 0;0 0
Wider Caribbean,USA,16 0;0 0
Wider Caribbean,VCT,16 0;0 0
Wider Caribbean,VEN,16 0;0 0
Wider Caribbean,VGB,16 0;0 0
Wider Caribbean,VIR,16 0;0 0
