Region,total_value_1996,total_value_2007,total_value_2008,total_value_2009,total_value_2010_baseline,total_value_2015,total_value_2016,total_value_protected,percent_protected
East Asian Seas,41612,39842.5956,39793,39729,39555,39158,39305,9919,25
Eastern Africa,7584,7323.512284,7347,7338,7318,7277,7282,3167,43
North-East Pacific,6866,6706.718798,6775,6749,6500,6653,6489,3692,57
North-West Pacific,10,10.00637318,10,10,10,10,10,7,73
Pacific,9484,9410.284405,9413,9408,9407,9305,9314,2826,30
Red Sea and Gulf of Aden,99,96.99898717,97,97,96,96,97,12,12
ROPME Area,188,181.7088665,185,185,186,177,176,90,51
South-East Pacific,3141,3071.036232,3075,3075,3083,3056,3062,1452,47
South Asian Seas,8416,8284.497688,8279,8269,8281,8192,8203,5405,66
West and Central Africa - WACAF,20007,19903.7522,19924,19920,19905,19797,19756,6076,31
Wider Caribbean,20951,20344.25767,20411,20298,19547,19662,19587,13644,70
