SourceID,Geographic_scope,Title,Author1,Author2,Author3,Year,Publisher,Link
1,Global,Cold-water coral reefs: Out of sight - no longer out of mind,A. Freiwald,J. H. Fossa,et al,2004,UNEP-WCMC,
2,Global,Cold-water corals in a changing ocean,J. M. Roberts,S. D. Cairns,,2014,Current Opinion in Environmental Sustainability,https://www.sciencedirect.com/science/article/abs/pii/S1877343514000050
3,Global,Cold-water corals: The Biology and Geology of Deep-Sea Coral Habitats,J. M. Roberts,A. J. Wheeler,A. Freiwald,2006,Science,https://www.researchgate.net/publication/287314060_Cold_Water_Corals_The_Biology_and_Geology_of_Deep-Sea_Coral_Habitats
4,Canada,Distribution of deep-water corals in Atlantic Canada,P. B. Mortensen,L. Buhl-Mortesen,D. C. Gordon Jr.,2006,Proceedings of 10th International Coral Reef Symposium 1832 - 1848,https://www.researchgate.net/profile/Lene_Buhl-Mortensen/publication/284723419_Distribution_of_deep-water_corals_in_Atlantic_Canada/links/565792f408aeafc2aac10c51/Distribution-of-deep-water-corals-in-Atlantic-Canada.pdf
5,Global,The IUCN Red List of Threatened Species,IUCN,,,2019,IUCN,http://www.iucnredlist.org
6,Faroe Island,The distribution of the scleractinian coral Lophelia pertusa around the Faroe islands and the relation to internal tidal mixing,R. Frederiksen,A. Jensen,H Westerberg,2011,"Sarsia, V. 77, Issue 2",https://www.tandfonline.com/doi/abs/10.1080/00364827.1992.10413502
7,Angola margin,First observations of deep-sea coral reefs along the Angola margin,E. Le Guilloux,K. Olu, et al,2009,Deep Sea Research Part II: Tropical Studies in Oceanography,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.607.8093&rep=rep1&type=pdf
8,Greenland,Preliminary mapping of the distribution of corals observed off West Greenland as inferred from bottom trawl surveys 2010 - 2012,O. A. Jorgensen,O. S. Tendal,N. H. Arboe,2013,"Northwest Atlantic Fisheries Organization, Scientific Council Meeting",https://orbit.dtu.dk/files/123045670/Publishers_version.pdf
9,OSPAR Region,Case reports of the OSPAR List of threatened and/or declining species and habitats,OSPAR Commission,,,2008,OSPAR,https://www.ospar.org/site/assets/files/1892/lophelia_pertusa_reefs.pdf
10,Russia,"The molecular species of Phspholipids of the cold-water soft coral Gersemia rubiformis (Ehrenberg, 1834)",A. B. Imbs,L. T. P. Dang,,2017,Russian Journal of Marine Biology,https://link.springer.com/content/pdf/10.1134/S1063074017030051.pdf
11,Caribbean,State of deep coral ecosystems in the Caribbean Region: Puerto Rico and the US Virgin Islands,S. J. Lutz,R. N. Ginsburg,,2003,NOAA,https://www.coris.noaa.gov/activities/deepcoral_rpt/Chapter8_Caribbean.pdf
12,Oceania,Conflicting estimates of connectivity among deep-sea coral populations,K. Miller,A. Williams,et al,2010,Marine Ecology,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1439-0485.2010.00380.x?casa_token=AVATAQXEqcsAAAAA:cbU4rZPsJpaUiU9tHZHaIGGPTXEhx4DODugupRKX3JknJbpx57IeisJYAAsd6rdkwchcVktLGOThhmbj
13,Saudi Arabia,In-situ observation of deep water corals in the northern Red Sea waters of Saudi Arabia,M. A. Qurban,P. K. Krishnakumar,et al,2014,Deep Sea Research I,https://repository.si.edu/bitstream/handle/10088/22597/iz_Deep_Water_Coral_2014.pdf?sequence=1&isAllowed=y
14,Global,Chapter 42: Cold-water corals,E. Cordes,S. Arnaud-Haond,et al,2016,United Nations,https://www.un.org/Depts/los/global_reporting/WOA_RPROC/Chapter_42.pdf
15,Chile,Large assemblages of cold-water corals in Chile: a summary of recent findings and potential impacts,V. Haussermann,G. Forsterra,,2007,"George, R. Y. and S. D. Cairns, eds. 2007. Conservation and adaptive 195 management of seamount and deep-sea coral ecosystems. Rosenstiel School of Marine and Atmospheric Science, University of Miami.",https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2007/00000081/a00103s1/art00018?crawler=true&casa_token=vepkYQiSQF0AAAAA:X7IqHUJ6fnC6TFNEk3GZaH9uV38XV5ZuFNmXeTjrUcChRPiuj7u9Xn5Lp9sukpJ33FKPME_Dq1AE0J0c
16,,Memoirs of the Hourglass Cruises,S. D. Cairns,,,1977,Marine Research Laboratory Florida Department of Natural Resources,https://repository.si.edu/bitstream/handle/10088/7219/IZ_1977_Cairns_Hourglass.pdf
17,Mesoamerican Reef,Exploration and Mapping of the deep Mesoamerican Reef,P. J. Etnoyer,M. L. Brennan,et al.,2015,Oceanography,https://www.researchgate.net/profile/Michael_Brennan7/publication/274072842_Exploration_and_Mapping_of_the_Deep_Mesoamerican_Reef/links/55144f050cf2eda0df30bc86.pdf
18,Brazil,"Deep-water octocorals (Cnidaria: Octocorallia) from Brazil: Family Chrysogorgiidae Verrill, 1883",R. T. S. Cordeiro,C. B. Castro,C. D. Perez,2015,Zootaxa,https://www.researchgate.net/profile/Carlos_Perez67/publication/286920358_Deep-water_octocorals_Cnidaria_Octocorallia_from_Brazil_Family_Chrysogorgiidae_Verrill_1883/links/56701b0408aececfd5530dd6/Deep-water-octocorals-Cnidaria-Octocorallia-from-Brazil-Family-Chrysogorgiidae-Verrill-1883.pdf
19,Italy,High-resolution trace and minor element compositions in deep-water scleratctinian corals (Desmophyllum dianthus) from the Mediterranean Sea and the Great Australian Bight,P. Montagna,M. McCulloch,et al.,2005,Cold-water corals and ecosystems,https://www.researchgate.net/profile/Marco_Taviani/publication/227048932_High-resolution_trace_and_minor_element_compositions_in_deep-water_scleractinian_corals_Desmophyllum_dianthus_from_the_Mediterranean_Sea_and_the_Great_Australian_Bight/links/0912f4ffacaef5bc0d000000.pdf
20,North-East Atlantic - potentially a lot of data!!!,"Deep-sea coral distribution on seamounts, oceanic islands, and continental slopes in the Northeast Atlantic",J. Hall-Spencer,A. Rogers,et al.,2007,"Conservation and adaptive management of seamount and deep-sea coral ecosystems. Rosenstiel School of Marine and Atmospheric Science, University of Miami",https://www.ingentaconnect.com/content/umrsmas/bullmar/2007/00000081/a00103s1/art00013?crawler=true
21,Pacific,"Forever in the dark: the cave-dwelling azooxanthellate reef coral Leptoseris troglodyta sp. N. (Scleractinia, Agariciidae)",B. W. Hoeksema,,,2012,Zookeys,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3487639/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
