species_id,scientific_name,IUCN_Genus,IUCN_Species,redlist_status,Timestamp_redlist,common_name,Comment
1,Acanthastrea brevis,Acanthastrea,brevis,VU,Jan-08,,
2,Acanthastrea echinata,Acanthastrea,echinata,LC,Jan-08,,
3,Acanthastrea hemprichii,Acanthastrea,hemprichii,VU,Jan-08,,
4,Acanthastrea minuta,Micromussa,minuta,NT,Jan-08,,Different Genus
5,Acanthastrea pachysepta,Lobophyllia,pachysepta,NT,Jan-08,,Different Genus
6,Acanthastrea rotundoflora,Acanthastrea,rotundoflora,NT,Jan-08,,
7,Acanthastrea subechinata,Acanthastrea,subechinata,NT,Jan-08,,
8,Acanthophyllia deshayesiana,Acanthophyllia,deshayesiana,NT,Jan-08,,
9,Acropora abrolhosensis,Acropora,abrolhosensis,VU,Jan-08,,
10,Acropora abrotanoides,Acropora,abrotanoides,LC,Jan-08,,
11,Acropora abrotanoides,Acropora,irregularis,DD,Jan-08,,
12,Acropora abrotanoides,Acropora,tutuilensis,DD,Jan-08,,Synonym to other species
13,Acropora aculeus,Acropora,aculeus,VU,Jan-08,,Synonym to other species
14,Acropora acuminata,Acropora,acuminata,VU,Jan-08,,
15,Acropora anthocercis,Acropora,anthocercis,VU,Jan-08,,
16,Acropora appressa,Acropora,appressa,NT,Jan-08,,
17,Acropora arabensis,Acropora,arabensis,NT,Jan-08,,
18,Acropora aspera,Acropora,aspera,VU,Jan-08,,
19,Acropora austera,Acropora,austera,NT,Jan-08,,
20,Acropora austera,Acropora,parahemprichii,DD,Jan-08,,Synonym to other species
21,Acropora awi,Acropora,awi,VU,Jan-08,,Synonym to other species
22,Acropora batunai,Acropora,batunai,VU,Jan-08,,
23,Acropora branchi,Acropora,branchi,DD,Jan-08,,
24,Acropora bushyensis,Acropora,bushyensis,LC,Jan-08,,
25,Acropora cardenae,Acropora,cardenae,DD,Jan-08,,
26,Acropora carduus,Acropora,carduus,NT,Jan-08,,
27,Acropora caroliniana,Acropora,caroliniana,VU,Jan-08,,
28,Acropora cerealis,Acropora,cerealis,LC,Jan-08,,
29,Acropora cerealis,Acropora,tizardi,DD,Jan-08,,Synonym to other species
30,Acropora cervicornis,Acropora,cervicornis,CR,Jan-08,,Synonym to other species
31,Acropora chesterfieldensis,Acropora,chesterfieldensis,LC,Jan-08,,
32,Acropora clathrata,Acropora,clathrata,LC,Jan-08,,
33,Acropora clathrata,Acropora,orbicularis,DD,Jan-08,,Synonym to other species
34,Acropora cophodactyla,Acropora,cophodactyla,DD,Jan-08,,Synonym to other species
35,Acropora cytherea,Acropora,cytherea,LC,Jan-08,,
36,Acropora cytherea,Acropora,efflorescens,DD,Jan-08,,Synonym to other species
37,Acropora dendrum,Acropora,dendrum,VU,Jan-08,,Synonym to other species
38,Acropora derawanensis,Acropora,derawanensis,VU,Jan-08,,
39,Acropora desalwii,Acropora,desalwii,VU,Jan-08,,
40,Acropora digitifera,Acropora,digitifera,NT,Jan-08,,
41,Acropora digitifera,Acropora,schmitti,DD,Jan-08,,Synonym to other species
42,Acropora divaricata,Acropora,divaricata,NT,Jan-08,,
43,Acropora donei,Acropora,akajimensis,DD,Jan-08,,Synonym to other species
44,Acropora donei,Acropora,donei,VU,Jan-08,,Synonym to other species
45,Acropora downingi,Acropora,downingi,LC,Jan-08,,
46,Acropora echinata,Acropora,echinata,VU,Jan-08,,Synonym to other species
47,Acropora elegans,Acropora,elegans,VU,Jan-08,,
48,Acropora elegantula,Acropora,elegantula,DD,Jan-08,,
49,Acropora elseyi,Acropora,elseyi,LC,Jan-08,,
50,Acropora eurystoma,Acropora,pagoensis,DD,Jan-08,,
51,Acropora eurystoma,Acropora,eurystoma,NE,N/A,,
52,Acropora exquisita,Acropora,exquisita,DD,Jan-08,,
53,Acropora fastigata,Acropora,fastigata,DD,Jan-08,,
54,Acropora fenneri,Acropora,fenneri,DD,Jan-08,,
55,Acropora filiformis,Acropora,filiformis,DD,Jan-08,,
56,Acropora florida,Acropora,florida,NT,Jan-08,,
57,Acropora forskali,Acropora,forskali,DD,Jan-08,,
58,Acropora gemmifera,Acropora,scherzeriana,DD,Jan-08,,
59,Acropora gemmifera,Acropora,gemmifera,LC,Jan-08,,
60,Acropora glauca,Acropora,glauca,NT,Jan-08,,
61,Acropora globiceps,Acropora,globiceps,VU,Jan-08,,
62,Acropora gomezi,Acropora,gomezi,DD,Jan-08,,
63,Acropora grandis,Acropora,grandis,LC,Jan-08,,
64,Acropora granulosa,Acropora,granulosa,NT,Jan-08,,
65,Acropora halmaherae,Acropora,halmaherae,DD,Jan-08,,
66,Acropora hemprichii,Acropora,hemprichii,VU,Jan-08,,
67,Acropora hoeksemai,Acropora,hoeksemai,VU,Jan-08,,
68,Acropora horrida,Acropora,horrida,VU,Jan-08,,
69,Acropora horrida,Acropora,parilis,DD,Jan-08,,Synonym to other species
70,Acropora horrida,Acropora,sekiseiensis,DD,Jan-08,,Synonym to other species
71,Acropora humilis,Acropora,humilis,NT,Jan-08,,Synonym to other species
72,Acropora humilis,Acropora,ocellata,DD,Jan-08,,Synonym to other species
73,Acropora hyacinthus,Acropora,bifurcata,DD,Jan-08,,Synonym to other species
74,Acropora hyacinthus,Acropora,hyacinthus,NT,Jan-08,,Synonym to other species
75,Acropora indonesia,Acropora,indonesia,VU,Jan-08,,
76,Acropora intermedia,Acropora,intermedia,NE,N/A,,Synonym to other species
77,Acropora jacquelineae,Acropora,jacquelineae,VU,Jan-08,,
78,Acropora japonica,Acropora,japonica,DD,Jan-08,,
79,Acropora kimbeensis,Acropora,kimbeensis,VU,Jan-08,,
80,Acropora kirstyae,Acropora,kirstyae,VU,Jan-08,,
81,Acropora kosurini,Acropora,kosurini,VU,Jan-08,,
82,Acropora lamarcki,Acropora,lamarcki,DD,Jan-08,,
83,Acropora latistella,Acropora,latistella,LC,Jan-08,,
84,Acropora listeri,Acropora,listeri,VU,Jan-08,,
85,Acropora loisetteae,Acropora,loisetteae,VU,Jan-08,,
86,Acropora lokani,Acropora,lokani,VU,Jan-08,,
87,Acropora longicyathus,Acropora,longicyathus,LC,Jan-08,,
88,Acropora longicyathus,Acropora,navini,DD,Jan-08,,Synonym to other species
89,Acropora loripes,Acropora,lianae,DD,Jan-08,,Synonym to other species
90,Acropora loripes,Acropora,loripes,NT,Jan-08,,
91,Acropora loripes,Acropora,rosaria,DD,Jan-08,,Synonym to other species
92,Acropora lovelli,Acropora,lovelli,VU,Jan-08,,
93,Acropora lutkeni,Acropora,lutkeni,NT,Jan-08,,Synonym to other species
94,Acropora microclados,Acropora,microclados,VU,Jan-08,,
95,Acropora microphthalma,Acropora,inermis,DD,Jan-08,,
96,Acropora microphthalma,Acropora,microphthalma,LC,Jan-08,,
97,Acropora millepora,Acropora,convexa,DD,Jan-08,,Synonym to other species
98,Acropora millepora,Acropora,millepora,NT,Jan-08,,
99,Acropora mirabilis,Acropora,mirabilis,DD,Jan-08,,Synonym to other species
100,Acropora monticulosa,Acropora,monticulosa,NT,Jan-08,,
101,Acropora multiacuta,Acropora,multiacuta,VU,Jan-08,,
102,Acropora muricata,Acropora,copiosa,DD,Jan-08,,Synonym to other species
103,Acropora muricata,Acropora,formosa,NT,Jan-08,,Synonym to other species
104,Acropora muricata,Acropora,muricata,NE,N/A,,
105,Acropora nana,Acropora,nana,NT,Jan-08,,
106,Acropora nasuta,Acropora,nasuta,NT,Jan-08,,Synonym to other species
107,Acropora natalensis,Acropora,natalensis,DD,Jan-08,,
108,Acropora palmata,Acropora,palmata,CR,Jan-08,,
109,Acropora palmerae,Acropora,minuta,DD,Jan-08,,Synonym to other species
110,Acropora palmerae,Acropora,palmerae,VU,Jan-08,,Synonym to other species
111,Acropora paniculata,Acropora,paniculata,VU,Jan-08,,
112,Acropora papillare,Acropora,papillare,VU,Jan-08,,
113,Acropora pectinata,Acropora,pectinatus,DD,Jan-08,,Spelling
114,Acropora pharaonis,Acropora,pharaonis,VU,Jan-08,,
115,Acropora pichoni,Acropora,pichoni,NT,Jan-08,,
116,Acropora plantaginea,Acropora,plantaginea,DD,Jan-08,,
117,Acropora plumosa,Acropora,plumosa,VU,Jan-08,,
118,Acropora polystoma,Acropora,massawensis,DD,Jan-08,,Synonym to other species
119,Acropora polystoma,Acropora,polystoma,VU,Jan-08,,
120,Acropora prolifera,Acropora,prolifera,NE,N/A,,
121,Acropora proximalis,Acropora,proximalis,DD,Jan-08,,
122,Acropora pruinosa,Acropora,pruinosa,DD,Jan-08,,
123,Acropora pulchra,Acropora,pulchra,LC,Jan-08,,Synonym to other species
124,Acropora retusa,Acropora,retusa,VU,Jan-08,,
125,Acropora ridzwani,Acropora,ridzwani,DD,Jan-08,,
126,Acropora robusta,Acropora,nobilis,LC,Jan-08,,
127,Acropora robusta,Acropora,pinguis,DD,Jan-08,,Synonym to other species
128,Acropora robusta,Acropora,robusta,LC,Jan-08,,
129,Acropora rongelapensis,Acropora,rongelapensis,DD,Jan-08,,
130,Acropora roseni,Acropora,roseni,EN,Jan-08,,
131,Acropora rudis,Acropora,rudis,EN,Jan-08,,
132,Acropora rufa,Acropora,rufus,DD,Jan-08,,Spelling
133,Acropora russelli,Acropora,russelli,VU,Jan-08,,Synonym to other species
134,Acropora samoensis,Acropora,samoensis,LC,Jan-08,,
135,Acropora samoensis,Acropora,torresiana,DD,Jan-08,,Synonym to other species
136,Acropora samoensis,Acropora,wallaceae,DD,Jan-08,,Different species
137,Acropora sarmentosa,Acropora,sarmentosa,LC,Jan-08,,Synonym to other species
138,Acropora sarmentosa,Acropora,vermiculata,DD,Jan-08,,Synonym to other species
139,Acropora secale,Acropora,secale,NT,Jan-08,,Synonym to other species
140,Acropora selago,Acropora,insignis,DD,Jan-08,,Synonym to other species
141,Acropora selago,Acropora,selago,NT,Jan-08,,
142,Acropora seriata,Acropora,seriata,DD,Jan-08,,
143,Acropora simplex,Acropora,simplex,VU,Jan-08,,
144,Acropora sirikitiae,Acropora,sirikitiae,NE,N/A,,
145,Acropora solitaryensis,Acropora,solitaryensis,VU,Jan-08,,
146,Acropora spathulata,Acropora,spathulata,LC,Jan-08,,
147,Acropora speciosa,Acropora,rambleri,DD,Jan-08,,
148,Acropora speciosa,Acropora,speciosa,VU,Jan-08,,
149,Acropora spicifera,Acropora,spicifera,VU,Jan-08,,
150,Acropora squamata,Acropora,squamata,NE,N/A,,Synonym to other species
151,Acropora squarrosa,Acropora,maryae,DD,Jan-08,,Synonym to other species
152,Acropora squarrosa,Acropora,squarrosa,LC,Jan-08,,
