SourceID,Geographic_scope,Title,Author1,Author2,Author3,Year,Publisher,Link
0,Inland,,,,,,,
1,Global,World Atlas of Seagrasses,E. P. Green,F. T. Short,,2003,"UNEP-WCMC, University of California Press",
2,Mediterranean,Seagrass meadows (Posidonia oceanica) distribution and trajectories of change,L. Telesca,A. Belluscio,et al.,2015,Nature Scientific Reports 5,https://www.nature.com/articles/srep12505
3,American Samoa,Rapid Vulnerability Assessment and Adaptation Strategies for the National Marine Sanctuary and Territory of American Samoa,Score A. (editor),,,2017,"EcoAdapt, Bainbridge Island, WA",https://www.cakex.org/sites/default/files/documents/American%20Samoa%20VAAS%20Report%204.5.17.pdf
4,American Samoa,Seaweeds of American Samoa,P.A. Skelton,,,2003,International Ocean Institute,http://www.botany.hawaii.edu/basch/uhnpscesu/pdfs/sam/Skelton2003SeaweedsAS.pdf
5,Global,Seagrass ecology,Hemminga M. A.,Duarte C. M.,,2000,"Cambridge University Press, Nature",https://books.google.co.uk/books?hl=en&lr=&id=uet0dSgzhrsC&oi=fnd&pg=PP1&dq=seagrass+antarctica&ots=vFacqOv3Rn&sig=F91ZH5-nSgDQZf5C8Chu1tM0CWE#v=onepage&q=antarctic&f=false
6,Western Indian Ocean,Regional State of the Coast Report: Western Indian Ocean,,,,,,https://dx.doi.org/10.18356/24683d55-en
7,Global,Global distribution of seagrasses,UNEP-WCMC,F. T. Short,,2018,UNEP,https://data.unep-wcmc.org/datasets/7
8,"Cameroon, Chad","Environmental and bioeconomic characterisation of coastal and marine systems of Cameroon, including risk implications of the Chad-Cameroon pipeline project",A.R.G. Price,R. Klaus,et al.,2000,Aquatic Ecosystem Health & Management,https://www.tandfonline.com/doi/pdf/10.1080/14634980008656996?casa_token=TfrKn9nQfyMAAAAA:s5bKnDV6xykVWpXxo0h75BMA4EyoAAz_tmFSqvk8AO0mHjq51qOl0O5UF7_zKwFcYU9d0HfC_SGDxQ
9,Venezuela,"Composition and abundance of decapod crustaceans in mixed seagrass meadows in the Paraguana Peninsula, Venezuela",J. Marino,M. D. Mendoza,B. Lopeyz-Sanchez,2018,Iheringia. Serie Zoologia.,http://www.scielo.br/scielo.php?pid=S0073-47212018000100204&script=sci_arttext
